,Aliphatic: early vs late,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs biofilm,Late: aliphatic vs other plastic,Late: aliphatic vs biofilm,Early: other plastic vs biofilm,Late: other plastic vs biofilm
724335a5a1c7a34193f21de9da07725f,16.0,0,0,16.0,0,0,1.189207115002721,0
d0fd45098dd34fc934d7d21e32c04694,-22.819156315357077,-26.437666487377513,0,-1.4283118730661972,0,0,-3.6224295709409717,0
566d652fb6eb98ab2423f0eecb90572f,258612677781974.8,0,0,258612677781974.8,0,0,1.0218863001117686,0
18fe8b00d114363970839fa6bcfa90aa,52.80879189889732,2966.2851552967763,0,0,0,0,0,0
bdb531955d504be0132cd52fc06bda6f,1.131434288015527e+54,0.0,0,1.131434288015527e+54,0,0,-1.000007525401945,0
9cb93e71a3766fd304a942b1ef31dcd3,8.42389320987627,28.938266943933858,0,0,0,0,1.1534673639952544,0
320c38dc57faa9b5f686810d51121f54,200.84756458211325,75421165591.77446,0,200.84756458211325,0,0,1.0193677204723708,0
948996ba90b5e935e339812ce83beed5,16.0,16.0,0,0,0,0,0,0
1687e9e0a11389039faefa7d739d016e,-2624.3550026096905,-3284.5253881258086,0,-12.943828019872601,0,0,-1.2001323653794593,0
ddc675e112b72bef9bd8bbdd384c64f6,8.42389320987627,38.96971439474638,0,0,0,0,0,0
a2c39461c60086cd3b9e68a91a33e1f3,102384.10317583152,437.53025380130885,0,102384.10317583152,0,0,1.0822118838873684,0
c0da7e784e7e887550b294eddcf287be,-1.4125584382605725,-1.470228848307232,0,0,0,-260.8583464213771,0,-1.0555086964572047
c936d6e0369698e6f1d3f50cd7f96310,11328403.214085221,38.96971439474638,0,11328403.214085221,0,0,1.1401633146217924,0
3ad51ba03a6094306907a2cf22d57c4b,72.23262330184653,0,0,0,0,0,0,0
c0c4de54fa0261707ed11bd04a20d4db,-2.252421339378833,-12.728974257107526,0,-1.2819270366878608,0,0,-6.675462932603838,0
66f3c3355673ba31dd97b004dd3d7089,20085.21991650885,1061.410035380192,0,20085.21991650885,0,0,1.0713909405970714,0
be6c58790749ec53393a8ff4a72c7130,-1.2125396260686199,0,0,-1.3821394333153143,0,0,-2.560328272304528,0
1e6d6596b6fd76e5e2fe5bea85ef1d4e,1.189207115002721,0,0,0,0,0,0,0
aa5de0642addd3142f38a836ed1df3fb,-150.08793073055233,-150.08793073055233,0,-5.103554794242576,0,0,-1.3428145022654994,0
4ed9b03a9cf9366629acd8f2d9f3216e,1.0713909405970714,0,0,0,0,0,0,0
085adfe7b323eed690961c21364b88b5,4341935409.479764,792646.213689208,0,4341935409.479764,0,0,1.0360043033262436,0
fbf8ccb0b228f163ac6706c89123bb1e,21.54434690031884,16.0,0,0,0,0,0,0
9138906d657e98f27fd0f935636d909c,5301.426803798913,11328403.214085221,0,5301.426803798913,0,0,1.030021218122811,0
75380179c20c73fef33c9c64de32722d,9999.999999999995,3.2464217192597986e+109,0,9999.999999999995,0,0,1.0019071712490026,0
d70b0125524607d2a6a63c30dc65fd56,1.189207115002721,0,0,0,0,0,0,0
c622aa57e6d4404093caa3b8ed5a8050,3.6605315325422076e+35,-237235.79529817178,0,0,0,0,0,0
303c4925cbb9efd5e4613be5237850d0,0,-7118724021.028565,0,-1009.8232899004266,0,0,0,0
226a644f4d4c22b21fb7439d8abe384c,0,2966.2851552967763,-225.07783414893018,-1.7292734488602797,0,0,0,0
73662c52701b3da7755cb4786cf052dc,0,52.80879189889732,0,0,0,0,0,0
b197c7b86597356d5c6433a732bd1c69,0,1.0822118838873684,0,0,0,0,0,0
ccdedc613074241e31a66eb74eb715d6,0,1.1694032425278227,0,0,1.1694032425278227,1.2528880399491493,0,0
668e339c5353e6b261e807b5640cda5d,0,1.189207115002721,0,0,1.189207115002721,0,0,0
8f19b7a58894b7e4dab2411dd3197762,0,0,-1.0964725761574543,0,0,0,0,0
b2c5a27bd2fd0283ab41388ac6c896a5,0,0,1.189207115002721,0,0,1.189207115002721,0,0
4628c2446d425bb9f58a08dfa9643862,0,0,8.037170295969776,0,0,0,0,0
6543fb7002ef3565144ca8248bbdabd0,0,0,1.2152344588167212,0,0,1.2152344588167212,0,0
18180cc09f75e3c3da5f57a01dcac950,0,0,-60.175098208885835,-1.124414062793861,0,0,-60.175098208885835,0
5bd14fcfbdc4014b2ce094b21b0e7e1f,0,0,-1.062035877504668,0,0,-1.062035877504668,0,-2929.471692127126
8ceae18ee0348d694b1a6f77def3b22e,0,0,0,293.00117608414513,0,0,1.1534673639952544,0
4d66429dbdfad86ca3deec4a34579d55,0,0,0,8.42389320987627,0,0,1.1694032425278227,0
ca7ac1d1421694ee37bf8d15ec9134e0,0,0,0,1.0619360368833601,0,0,2966.2851552967763,0
794403a3389cfc383f5d3348bb19cf45,0,0,0,1.1287629199736742,0,0,52.80879189889732,0
311a0503e17a3ec987f1f3f455fb461b,0,0,0,28.938266943933858,0,0,0,0
1606dd77af9faf5ca6185ddedd2d7c15,0,0,0,1.1534673639952544,0,0,28.938266943933858,0
48280d0b7b03e93a9cac7b19743cc1d8,0,0,0,0.0,0,0,0.0,0
bd3a0be69e8c83c20146300046ccb511,0,0,0,16.0,0,0,0,0
ea2d416a98cb541a0e113af77b93e0ba,0,0,0,-1.1150413660160379,0,0,-82.45211004267793,0
5166a299b241088221dd8ea951f10155,0,0,0,155200.48342550697,0,437.53025380130885,1.041015786790943,0
eed38f0f1435902ff32ab23d429fd358,0,0,0,1.1094974875322592,0,0,81.78907650490486,0
bdf6628bdcc402f9100bdd262ef328f4,0,0,0,1.1298088296635325,0,0,51.823736086839034,0
e170c8ae201613bec248c8e838b64d23,0,0,0,1.0948397242600092,0,0,200.84756458211325,0
507cd63ba3bbe1ab05eec7e61ebdd2e2,0,0,0,0.0,0,0,0,0
9285aa60b5dc6276cd7e61a87dc708b0,0,0,0,52.80879189889732,0,0,1.1401633146217924,0
de4340eff3230e51a4579d6b51f28c29,0,0,0,0,0,-90043.1134618392,0,0
2055d4bcabed4296aec22202dc030fec,0,0,0,0,0,-17117.422544229852,0,0
40db52fe16bf4530a63be9ef1cbaef9d,0,0,0,0,0,0,0,-90043.1134618392
Colors,"#ff0000, #25df50","#ff0000, #25df50","#ff0000, #25df50","#5F9EA0, #FCA94A","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#8B008B, #FCA94A","#8B008B, #FCA94A"
