,Aliphatic: early vs late,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs biofilm,Late: aliphatic vs other plastic,Late: aliphatic vs biofilm,Early: other plastic vs biofilm,Late: other plastic vs biofilm
54531ee42f8a5cb2c9c656a524867fd4,-52119.271817984816,-6887239.179722509,0,-52119.271817984816,0,0,-1.0309846226456512,0
724335a5a1c7a34193f21de9da07725f,16.0,16.0,0,16.0,0,0,0,0
5166a299b241088221dd8ea951f10155,75421165591.77446,2966.2851552967763,0,75421165591.77446,0,0,1.0619360368833601,0
d0fd45098dd34fc934d7d21e32c04694,200.84756458211325,99.99999999999997,0,0,0,0,0,0
8ceae18ee0348d694b1a6f77def3b22e,293.00117608414513,28.938266943933858,0,293.00117608414513,0,0,1.1534673639952544,0
22b545cd4650317c5335dc492e3bf8cf,362437955.5890373,-1.5574487885067427e+17,0,0,0,0,-1.0719231918988332,0
d06c89b4a0d8090e10a3266deb939c56,1061.410035380192,102384.10317583177,0,0,0,0,0,0
6e6f306a337ba255a7f4a7f8469ff691,59351655.80504592,102384.10317583152,0,59351655.80504592,0,0,1.0425257649469395,0
d32e579b3ae7b2aae8d5bf9f027c29af,8.42389320987627,21.54434690031884,0,8.42389320987627,0,0,1.1694032425278227,0
ecac869c59680cd9143ba1be6583f055,0.0,0,0,0,0,0,0,0
0356b8bf9fd15d2b45124228f1e8a464,418477974.1795464,1.1484104274573395e+17,0,418477974.1795464,0,0,1.0123058698769736,0
c18804d47930a429c5b428341d701928,1.1534673639952544,0,0,1.189207115002721,0,0,16.0,0
9cb93e71a3766fd304a942b1ef31dcd3,8.42389320987627,16.0,0,0,0,0,0,0
320c38dc57faa9b5f686810d51121f54,200.84756458211325,75421165591.77446,0,200.84756458211325,0,0,1.0193677204723708,0
74326e2287ae5e9d508f2821bb6db5c4,52.80879189889732,2966.2851552967763,0,0,0,0,0,0
4259c62698940560924f1e394b1284ab,1.2528880399491493,0,0,0,0,0,0,0
28253162bfd03feed7884f1fa89be177,258612677781979.94,2.0665880598984818e+26,0,258612677781979.94,0,0,1.0079606880042844,0
cc35840a1ae4bf4a67e9e37182eed5ad,5.649559819547833,0,0,0,0,0,52.80879189889732,0
d70b0125524607d2a6a63c30dc65fd56,1.189207115002721,0,0,0,0,0,0,0
1687e9e0a11389039faefa7d739d016e,-2624.3550026096905,-3284.5253881258086,0,-12.943828019872601,0,0,-1.2001323653794593,0
a2c39461c60086cd3b9e68a91a33e1f3,102384.10317583152,437.53025380130885,0,102384.10317583152,0,0,1.0822118838873684,0
22e20b2b8790ff7fec6502ec5c4abef5,8.42389320987627,16.0,0,8.42389320987627,0,0,1.189207115002721,0
9775dd8bbc76e65781081c268471ca3a,1061.410035380192,0,0,1061.410035380192,0,0,1.0822118838873684,0
f186590f95cbc0aa1a0f4a37f5afba87,28.938266943933858,0,0,0,0,0,0,0
bd3a0be69e8c83c20146300046ccb511,16.0,0,0,16.0,0,0,0,0
9def3ee20938aa267a8c345fcc112f9d,38.96971439474638,293.0011760841448,0,38.96971439474638,0,0,1.088264437451673,0
c3207fc6d46b466b096995e2717cd484,1061.410035380192,21.54434690031884,0,1061.410035380192,0,0,1.1694032425278227,0
3491e14714ecd74f8865cd07d8fbfae6,5.649559819547833,0,0,5.649559819547833,0,0,1.3197805553566992,0
bdb531955d504be0132cd52fc06bda6f,16.0,16.0,0,16.0,0,0,1.189207115002721,0
5f860792e75c63fee7cc9ba712c92163,21.54434690031884,0,0,21.54434690031884,0,0,0,0
c936d6e0369698e6f1d3f50cd7f96310,11328403.214085221,38.96971439474638,0,11328403.214085221,0,0,1.1401633146217924,0
3ad51ba03a6094306907a2cf22d57c4b,72.23262330184653,0,0,0,0,0,0,0
c0c4de54fa0261707ed11bd04a20d4db,-2.252421339378833,-12.728974257107526,0,-1.2819270366878608,0,0,-6.675462932603838,0
d6b514f12edbe7d7f0bf154a81e0d3a1,8.42389320987627,0,0,8.42389320987627,0,0,0,0
3576a745308ec8f4662afdc8f6e84e6b,-52119.271817984685,-3699.9309451165036,0,-9.36686024858885,0,0,-1.3283020996124968,0
f861deb66544ba4ec7c03c678f5b06fb,52.80879189889732,5301.426803798913,0,0,0,0,0,0
1e6d6596b6fd76e5e2fe5bea85ef1d4e,1.189207115002721,0,0,0,0,0,0,0
aa5de0642addd3142f38a836ed1df3fb,-150.08793073055233,-150.08793073055233,0,-5.103554794242576,0,0,-1.3428145022654994,0
2bbb28b70c3a3757e48663f4d0003ecc,-217.3392313117742,-797.4074431241368,0,-5.756674869884287,0,0,-1.2474288722731561,0
bdf6628bdcc402f9100bdd262ef328f4,5.649559819547833,0,0,5.649559819547833,0,0,0,0
21198426200d0e66b5115fdab149ff18,99.99999999999997,28.938266943933858,0,99.99999999999997,0,0,1.1534673639952544,0
033398fd9a06f48d0247ae1a6063f9d0,1.1401633146217924,0,0,0,0,0,0,0
9138906d657e98f27fd0f935636d909c,5301.426803798913,11328403.214085221,0,5301.426803798913,0,0,1.030021218122811,0
75380179c20c73fef33c9c64de32722d,9999.999999999995,3.2464217192597986e+109,0,9999.999999999995,0,0,1.0019071712490026,0
0518cb6d0617ddd964a4dba3aeb99f6c,21.54434690031884,0,0,21.54434690031884,0,0,1.1401633146217924,0
c622aa57e6d4404093caa3b8ed5a8050,3.6605315325422076e+35,-121674.68469214921,0,0,0,0,0,0
041792056bd7be0d5d925d8a6546e833,0,1.1694032425278227,0,0,1.1694032425278227,1.2528880399491493,0,0
5afc2a9c279a0e72cb96fb88e116f994,0,2966.2851552967763,-225.07783414893018,-1.7292734488602797,0,0,-1.5993366455232352,0
9afe5161231532d3cd3b698b1d58b89c,0,1.1314342880158613e+54,0,0,0,0,0,0
2cbacea4472c7d134d593f161c1b5278,0,1.1534673639952544,-1.132099558057751,0,0,0,0,0
4791646dccadd0a7b6d38f574d09f6c4,0,1.0713909405970714,0,0,0,0,0,0
b2c5a27bd2fd0283ab41388ac6c896a5,0,0,1.189207115002721,0,0,1.189207115002721,0,0
45d5ac204795994fee201f96b9fc3627,0,0,1.0665138991674112,0,0,1.0665138991674112,0,0
1a711589f225a84f46f9fd5784189732,0,0,1.2152344588167212,0,0,1.2152344588167212,0,0
88f127fe3a140d751f366226d300f85d,0,0,-1.2027595381777003,0,0,-1.2027595381777003,0,0
d443de3344c85c665e74bbf97db7d5e1,0,0,0.0,0,0,0,0,0
319a039cdde8963eba0c69dc6cc1b09c,0,0,0.0,0,0,0,0,0
1e9b545b638615acbc764d8e419f6b5b,0,0,0.0,0,0,0,0,0
6543fb7002ef3565144ca8248bbdabd0,0,0,1.2152344588167212,0,0,1.2152344588167212,0,11.759454142109306
a4e7b030037a59bcf31cf0aaf299868b,0,0,0.0,0,0,0,0,0
192123523b11aa8483bc449410cb1cdf,0,0,1.088264437451673,0,0,1.088264437451673,0,0
bd465a0ac79d725ea1a106824f895cb0,0,0,-1.0430147153061113,0,0,0,0,0
b69d33c2ec8a2e579990470bd9ff683d,0,0,-1.0169350244250133,0,0,-1.0169350244250133,0,-2661551524513.452
33d7317d54fe41bced73dd2f497c12ec,0,0,-67.59862834821853,-1.120779792216048,0,0,-67.59862834821853,0
caa0966132bc56346c71df8156c659ee,0,0,1.2152344588167212,0,0,1.2152344588167212,0,0
09fa7bebd94077cdfb424febf664d2f4,0,0,-1.141811092004929,0,0,-1.141811092004929,0,-37.44591088642323
5bd14fcfbdc4014b2ce094b21b0e7e1f,0,0,-1.062035877504668,0,0,-1.062035877504668,0,-2929.471692127126
289a6cadbce19316f21ed2f7133f940d,0,0,0,1.0822118838873684,0,0,0,0
c1b4d4f034152d964a49c3f6559274ac,0,0,0,-1.0629292921317954,0,0,-2624.3550026096905,0
797894bb0d8cd7f6f43250b723aa2a97,0,0,0,1.0822118838873684,0,0,437.53025380130885,0
ca7ac1d1421694ee37bf8d15ec9134e0,0,0,0,1.0948397242600092,0,0,200.8475645821135,0
dc3835d12dc9edc210bddff9c66bf356,0,0,0,-1.045228324919567,0,0,-52119.271817984685,0
3f04bd2a359b976892faa13fcb4de619,0,0,0,1.2528880399491493,0,0,0,0
ed3f8d8f47258f6eba170105b4105acb,0,0,0,28.938266943933858,0,0,1.0948397242600092,0
486ce8324c1d0fe005843aa7bdb450e0,0,0,0,1.0948397242600092,0,0,0,0
48280d0b7b03e93a9cac7b19743cc1d8,0,0,0,0.0,0,0,0.0,0
15c1c3c6b3755a72c95a9cdc9ec5ad28,0,0,0,1.1099656250033179,0,0,99.99999999999997,0
4672cfb7df31f9071fcf4bb20f3c91df,0,0,0,1.0713909405970714,0,0,0,0
c36b9a61196ae1b1cd2f890022be67ff,0,0,0,1.1287629199736742,0,0,0,0
55357b7fa07da6a981c32fea228aeb2b,0,0,0,1.1287629199736742,0,0,52.80879189889732,0
4628c2446d425bb9f58a08dfa9643862,0,0,0,0,0,-9999.999999999996,0,0
47116dc234b0e98fbe1544617899eff5,0,0,0,0,0,-17117.422544229852,0,0
857c31050a6706553523ba04ae510fde,0,0,0,0,0,0,8.42389320987627,0
5183d97b2862d0ab4cacfd081ab5d0fe,0,0,0,0,0,0,8.42389320987627,0
0ba0d4c5a289facc80e0e481377a9e18,0,0,0,0,0,0,0.0,0
Colors,"#ff0000, #25df50","#ff0000, #25df50","#ff0000, #25df50","#5F9EA0, #FCA94A","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#8B008B, #FCA94A","#8B008B, #FCA94A"
