,Aliphatic: early vs late,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs other plastic,Early: aliphatic vs biofilm,Late: aliphatic vs other plastic,Late: aliphatic vs biofilm,Early: other plastic vs biofilm,Late: other plastic vs biofilm
e47e6ee33f98d11c35b1647d27825eb4,0.0,0,0,0.0,0,0,0,0,0
147e26e9b59ceec4f7759ca0ca4a6a58,293.00117608414513,28.938266943933858,0,3.221950084143997,293.00117608414513,0,0,1.1534673639952544,0
1516cd1f7a1e4da4a9318783cb437b3f,1.1188017150394498,0,0,0.0,0,0,0,0,0
1b27b73a3570706c066fcb547012bba2,0,1.2152344588167212,0,0,0,0,0,0,0
c36b9a61196ae1b1cd2f890022be67ff,0,5301.426803798913,-8.335580611403566,1.4509525002200234,-4.505552130427525,0,0,-1.1869600769330169,0
fb605b20f7842001a4dc80ccb36dffa2,0,0.0,1.3197805553566992,0,0,0.0,1.3197805553566992,0,0
da9cf7b18aa190e3a931150ac78cad62,0,0.0,0,0,0,0,0,0,0
5166a299b241088221dd8ea951f10155,0,1.5893493961772116,0,1.9594982585785359,1.5376159831082523,0,0,2.9557903839262396,0
ccdedc613074241e31a66eb74eb715d6,0,1.1694032425278227,0,0.0,0,1.1694032425278227,1.2528880399491493,0,0
d4d0246abef9b037f1e8210d3d9f04dd,0,0,-28970107.97629438,1.910650020507384,0,0,671.0891393938025,0,1.0329508868761248
48989212ea27d39e6d42abad1554d9b4,0,0,-1.3285625959918772,-1.2238452297396691,-6.21521370073494,0,0,1.0796491169413858,0
d0dd24560a7bf1602b42c8242efda52f,0,0,0,2.461484250028668,0,0,0,0,0
9330175d2b374ecffac2290db274c2cc,0,0,0,0.0,0,0,0,0,0
b86a75df482f0fc6da75c20d1c434a62,0,0,0,0.0,1.2528880399491493,0,0,8.42389320987627,0
8744411142649d2009f683c6cc0b1fcd,0,0,0,0.0,0,0,0,0,0
b664e90171219325c31a1fe7c983ebca,0,0,0,3.4893988361708543,0,0,0,0,0
Colors,"#ff0000, #25df50","#ff0000, #25df50","#ff0000, #25df50","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#8B008B, #FCA94A","#8B008B, #FCA94A"
