,Other plastic: early vs late,Late: other plastic vs unknown plastic,Late: other plastic vs biofilm
1b84b05165a78cf7e0645f6f639c86a4,-1.0940119409406674,0,0
4473ac847f597164696bc96da74ca753,0.0,0,0
4628c2446d425bb9f58a08dfa9643862,-5457.051288125214,0,0
5fd8757a16e27c1fde92abd8bdcc315c,-1.0036785751375352,-6.711140508472363e+56,0
aa9fce82bb04aae4c41afb51469f658d,0.0,0,0
47116dc234b0e98fbe1544617899eff5,8.42389320987627,0,0
b54c80f1c09c6b7ff0fd5692cbfb6805,0.0,0,0
6c2d49a3484f444efe20c217ea006b6d,1.0619360368833601,2966.2851552967763,0
baa6fc20de1bdf2c1c127bd62fcba807,0.0,0,0
159dbd33ef1a82e73cf0e8085e333cce,0.0,0,0
c4b15d00ba4009557099f7c3c0c6a4e0,0,-797.4074431241387,-1.0745579863531587
Colors,"#ff0000, #25df50","#8B008B, #3593FC","#8B008B, #FCA94A"
