,Other plastic: early vs late,Late: other plastic vs unknown plastic,Late: other plastic vs biofilm
4672cfb7df31f9071fcf4bb20f3c91df,43421.02855426454,0,0
5166a299b241088221dd8ea951f10155,-1.2153183109212746,0,0
948996ba90b5e935e339812ce83beed5,-1.0745579863531587,-797.4074431241378,-1.0745579863531587
2d9a3610311ef9d7fef8f6f90d0be418,8.42389320987627,0,0
f2cb5b568f7289fe805c64d697e2cbe2,0,0,437.53025380130885
47f280a62d3cbe2edbfada40370a17d4,0,0,0.0
566d652fb6eb98ab2423f0eecb90572f,0,0,1.0822118838873684
22144d9149a8a0eec1ce9f4d0539f1c6,0,0,0.0
1f4b26b5c7e7531739a89704c06811f8,0,0,0.0
ecb0c1c7c866bb56108d431555dd4aab,0,0,0.0
c0da7e784e7e887550b294eddcf287be,0,0,52.80879189889732
4791646dccadd0a7b6d38f574d09f6c4,0,0,0.0
6c2d49a3484f444efe20c217ea006b6d,0,0,1.0619360368833601
a4b5a0b7035aa2b3c68b10ef368a133e,0,0,0.0
9adef84f2db479f3c93e28dfdfff8da2,0,0,0.0
6a16ce308c0dedac37d27825d44a7987,0,0,0.0
2c0cf253f8d1c43edd7b09c23942f3cb,0,0,0.0
48989212ea27d39e6d42abad1554d9b4,0,0,-1.0745579863531587
Colors,"#ff0000, #25df50","#8B008B, #3593FC","#8B008B, #FCA94A"
