,Aliphatic: early vs late,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs other plastic,Early: aliphatic vs unknown plastic,Early: aliphatic vs biofilm,Late: aliphatic vs other plastic,Late: aliphatic vs unknown plastic,Late: aliphatic vs biofilm,Early: other plastic vs unknown plastic,Late: other plastic vs unknown plastic,Late: other plastic vs biofilm,Early: unknown plastic vs biofilm,Late: unknown plastic vs biofilm
3e57ea78058a0bdae13929dbb7c89e3e,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
a562b4926ab989d46a1f1736a1e800e2,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
eb1c84cf014ec307175a3ff14be688d7,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
cc35840a1ae4bf4a67e9e37182eed5ad,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0
69e66fe540fb8829cd080db780b954ae,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
0ca5e8a697924c172f6eeb8218934e70,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
f2cb5b568f7289fe805c64d697e2cbe2,0,0,0,1.9812606394692,0,1.947588930026521,0,0,0,0,0,0,0,0
e65e11105ca47feaf12f6811ffc21a5e,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
171bf4b71931d659cd5354729feaf436,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
9224b05874ef70e976411c9f0999966b,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
fb8217d8523ce008e24f7c9d633a2918,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
535ececa077b9329540a1e7154c28e59,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
915f094c4e716b65c0fbb3b50154b9d8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
486943f43389a8f5f7ec28c50d915c09,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0
c622aa57e6d4404093caa3b8ed5a8050,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
06b19c1cccb145ee285728fee659e800,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
48b3cd95bb74a3fe679247dc289ecc1a,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
ccc6eda4332c7695723d40b6335ae677,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
ce0039277aa3b0a973ee05327baee5dc,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
437c3825020566bfed68baa731eab1b4,0,0,0,0,-1.045228324919567,0,0,0,0,-1.045228324919567,0,0,-1.045228324919567,0
98db53fac0e3409e319e4acabb66b94a,0,0,0,0,-1.0515435878097485,0,0,0,0,-1.0515435878097485,0,0,-1.0515435878097485,0
204b8f432a8b432dadf34c984b5391cf,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
128f2cccb98ec94130576517025792ec,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
ad35cac3f69c9c87de64be7bd11807c4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
ee0fc6c6787f28dcf90136fc6a39d9fe,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
a2c80067e1f47652e360cd7d3544041e,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
8e2e0ef8d0bebbd92dcb360e8ea7f4b4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
68d1a431d36b09730ebfc092d2341a08,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
97d8a108a2b8aeb6eccfd33d6f0f1db3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
cbaf06d962f3f51096b35fc1251fdb94,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
d62e0ac8ba4ac94ceefa9d028d9b12e6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
72b4f42954296bb954dc2177edfb0de8,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
16d22bd7877a40755a4606bf7c5e5f9c,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
39f3e5d90483ddecea2c541aaf69ced7,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
fc55b9ce63d9603adc66102fb68722fc,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
d505757e7d67f6f3b19bec495c8a22a6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
275f90d45603848ad264e9afa232049c,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
d0346d8070829bccf1487305da7dfc6d,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
eafbe73e1506f3321e6e636a005eea8b,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
e93ecb09fa8a36e95c47be4d8ff628e1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0
d01e487b828ef6bb981e3f43b790d258,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0
dfdbb67804d751c2e1419ab4e01d4c22,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
a970b4473270227fc398ce43c73c5f17,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
4ce1805b5c9e3a0e76fa691d979ad98a,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0
44cb7929ff5b28f0436db829c979328a,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
9380eac5ee2cf8d4a60f4b9f10bd5f16,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
Colors,"#ff0000, #25df50","#ff0000, #25df50","#ff0000, #25df50","#5F9EA0, #8B008B","#5F9EA0, #3593FC","#5F9EA0, #FCA94A","#5F9EA0, #8B008B","#5F9EA0, #3593FC","#5F9EA0, #FCA94A","#8B008B, #3593FC","#8B008B, #3593FC","#8B008B, #FCA94A","#3593FC, #FCA94A","#3593FC, #FCA94A"
