,Aliphatic: early vs late,Other plastic: early vs late,Biofilm: early vs late,Early: aliphatic vs other plastic,Early: aliphatic vs biofilm,Late: aliphatic vs other plastic,Late: aliphatic vs biofilm,Early: other plastic vs biofilm,Late: other plastic vs biofilm
04175f386c14319829ffb23d5c188b2a,-2.2783217731108585,-13.374562630797968,0,0,0,0,0,0,0
03e48f50781f9fe3dbc538d0d56cbd42,1.2528880399491493,0,-1.0952507493751658,0,0,0,0,0,0
03c1a0d53d44e83b53f7bd0b85fc6272,38.96971439474638,43421.0285542647,0,0,0,0,0,0,0
13d7754a56b77b903ad8e14a106a6821,200.84756458211325,0,0,0,200.84756458211325,0,0,0,0
02aa964fdcf7e043d507746064452a20,38.969714394746404,52.80879189889732,0,0,0,0,0,0,0
033398fd9a06f48d0247ae1a6063f9d0,1.1133459569425015,0,0,1.1016469826383628,0,0,0,0,0
0077b1c328d7c6d76713c77105393caf,1.3197805553566992,0,0,0,0,0,0,0,0
00291cb486e72af7670f7b0e74133a69,1.0822118838873684,1.0360043033262436,0,0,1.0272059683094998,0,0,59351655.80504636,0
0434f20bad10364966c336f804323b01,38.96971439474638,2966.2851552967763,0,0,0,0,0,1.0619360368833601,0
017c6ea10f481511994b78f44b4236b0,-111.39796709898425,0,0,0,0,0,0,0,0
00e49da04441ab2eddf92784d1724a65,-1.2586934662542453,-1.0558079661999702,0,0,0,0,-184.33276463107262,0,-1.0153900458956917
00504b396468358f74f5736e0e1a7655,-1.4303076039611236,-12.998938033371436,0,0,-1.1809335905170288,0,0,-12.05,0
319b6436b40b69eb28fecfa461ad6542,1.1534673639952544,0,0,0,0,0,0,0,0
1e37f70d9532f77b94158775a78f4c2f,437.53025380130885,3.6605315325422076e+35,0,0,437.53025380130885,0,0,1.0058844362969364,0
18fe8b00d114363970839fa6bcfa90aa,0,1061.4100353801907,0,0,-1.0694803777899706,0,0,0,0
ddc675e112b72bef9bd8bbdd384c64f6,0,28.938266943933858,0,0,1.039191969563748,0,0,0,0
005d2313f12b94d19a1c28ad0d0df36c,0,52.80879189889732,0,0,0,0,0,0,0
0eecd98ee0fc801c9e05d6d60939d76b,0,1.1694032425278227,0,0,0,1.1694032425278227,0,0,0
02e3e40d8f66b08e839b247503a8297b,0,11328403.214085221,0,0,0,0,0,0,0
19d358902ba517f157882b37bd5e5711,0,1.3197805553566992,0,0,0,0,0,0,0
67d712bcab7758c6a6fc6f2619b2199f,0,-3717084.9491810035,0,0,0,0,0,0,0
5aa62df695e9e60ba44f29a79fb567ba,0,0,1.189207115002721,0,0,0,0,0,0
024fd6c42bb3725783643f1863bc1f6f,0,0,-1.0946334985225399,0,0,0,-1.0946334985225399,0,-203.0786836970743
08a646c6732a1c6dfc827730c7960e43,0,0,1.189207115002721,0,0,0,1.189207115002721,0,16.0
056187ef37d059aaf9b50168420fbd1f,0,0,-14.11773400452836,0,-1.1989892442440266,0,0,-14.11773400452836,0
09b28a283ebb717777aaa285815f5c47,0,0,-184.33276463107254,0,-1.3273108427945128,0,0,-1.8123419738207731,0
00b54bad7e854b2cd5c060869fa7ad6a,0,0,0,0,-1.652071205811561,0,0,0,0
19026183566db7ea1ad9b200971335ad,0,0,0,0,1.0948397242600092,0,0,200.84756458211325,0
3610bc6352cd88c169003086df50d1bd,0,0,0,0,1.1287629199736742,0,0,0,0
1cb3558d8e931cbfe4138dc6111e0892,0,0,0,0,-1.0131416942514693,0,0,0,0
0243ff122f36584fdb303dc4bcd95662,0,0,0,0,-4.116017581369292,0,11328403.214085221,-1.5699687891834646,1.0619360368833601
028ede7aaec86d4b3c3bdf91a6335ee9,0,0,0,0,-1.114606203348235,0,0,0,0
00b29436d3526a4cd1af9a9db16c6d0a,0,0,0,0,0,0,-43.166982031720195,0,-1.0994559324324893
0518cb6d0617ddd964a4dba3aeb99f6c,0,0,0,0,0,0,0,1.2528880399491493,0
07bced27d21113e0c04099cbc6bbdc98,0,0,0,0,0,0,0,0,-32130.236578066368
Colors,"#FBC704, #900C3F","#FBC704, #900C3F","#FBC704, #900C3F","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#5F9EA0, #8B008B","#5F9EA0, #FCA94A","#8B008B, #FCA94A","#8B008B, #FCA94A"
