Taxa,kingdoms,phyla,classes,orders,families,genera,species,aliphatic,biofilm,other plastic,planktonic,unknown plastic,Importance,ANCOM
Class: WPS-2,Bacteria,WPS-2,WPS-2,WPS-2,WPS-2,WPS-2,WPS-2,344.6700507614213,19.469026548672566,137.8640776699029,6.25,3662.944162436548,0.008481417301225057,S
Order: Opitutales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,13938.578680203045,3215.929203539823,13591.26213592233,291812.5,8872.081218274112,0.022193954559739614,NS
Order: Verrucomicrobiales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,90107.86802030457,20951.327433628318,19434.466019417476,208729.04411764705,41283.756345177666,0.006951146003192169,NS
Genera: MB11C04 marine group,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Puniceicoccaceae,Puniceicoccaceae,950.0,96.46017699115045,2627.1844660194174,72352.20588235294,250.253807106599,0.01757559414607971,S
Genera: Coraliomargarita,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Puniceicoccaceae,Puniceicoccaceae,2520.0507614213197,769.0265486725664,2165.5339805825242,35913.60294117647,1618.781725888325,0.005403512176623084,S
Species: MB11C04 marine group,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group,MB11C04 marine group,950.0,96.46017699115045,2627.1844660194174,72352.20588235294,250.253807106599,0.01723938873822194,S
Species: Coraliomargarita,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Coraliomargarita,Coraliomargarita,2118.7817258883247,32.743362831858406,1384.9514563106795,35875.73529411765,1611.6751269035533,0.007126201634239866,S
Family: Puniceicoccaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutales,Opitutales,Opitutales,13938.578680203045,3215.929203539823,13589.320388349515,291676.8382352941,8872.081218274112,0.015450033871552063,NS
Class: Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,104736.29441624366,24434.513274336285,37960.19417475728,505840.8088235294,50225.8883248731,0.04601425078344986,NS
Class: Spirochaetia,Bacteria,Spirochaetes,Spirochaetes,Spirochaetes,Spirochaetes,Spirochaetes,Spirochaetes,752.0304568527919,1272.5663716814158,612.6213592233009,3.676470588235294,710.1522842639594,0.005248175791381938,S
Class: Alphaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,1579358.1218274112,402175.22123893804,950821.8446601941,7359598.161764706,1086931.9796954314,0.034091929324795336,NS
Class: Deltaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,46673.350253807104,87015.0442477876,69942.23300970874,29709.191176470587,19763.451776649745,0.022556516482464532,NS
Class: Gammaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,838248.9847715736,324687.610619469,595118.4466019417,349264.3382352941,180900.5076142132,0.01971299888663101,NS
Class: Proteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,37209.64467005076,3565.4867256637167,19573.300970873788,42912.867647058825,20193.401015228428,0.010917185847374456,S
Species: SAR86 clade,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,SAR86 clade,SAR86 clade,SAR86 clade,110.40609137055837,104.42477876106194,222.81553398058253,44641.544117647056,3505.583756345178,0.005143367985119075,S
Family: SAR86 clade,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,SAR86 clade,SAR86 clade,SAR86 clade,110.40609137055837,104.42477876106194,222.81553398058253,44641.544117647056,3505.583756345178,0.007993279608315947,S
