,PlasticTypeGeneral
Enterobacteriaceae,0.04824808885367273
Compostibacillus humi,0.027111870744209697
Arenimonas,0.024446547970471282
Reyranella,0.019666442349462635
Paracoccus,0.017029106654618383
Planomicrobium,0.015996647367064114
Chryseolinea,0.015152311357528873
Novibacillus,0.013973122037387138
Sandaracinaceae,0.013847302775152606
SJA-28,0.011991786803403915
Arthrobacter,0.011842598656651512
Dokdonella,0.011191941983802235
Oerskovia,0.010886805927201296
Flavitalea,0.010765471576248459
Halomonas,0.010543827118613616
Bacillus kokeshiiformis,0.009452460629142624
Sphingopyxis,0.009423063027322546
Rhodobacteraceae,0.009105523295752904
Ohtaekwangia,0.009016965150782373
Planococcaceae,0.008421234504261793
Dietzia,0.008347441886547954
Chthoniobacter,0.008285824201951803
Opitutus,0.008138492885944284
Lysobacter,0.007879642781965662
Algoriphagus,0.007875351600257558
OLB12,0.007865509827393912
Pedobacter,0.007643001038877757
Brevundimonas,0.007235159497797212
Phenylobacterium,0.0071498587088053645
Gemmatimonas,0.006978426068477228
Burkholderiaceae,0.006836180277796873
BIrii41,0.006828890397952497
OPB56,0.00681301499988408
MWH-CFBk5,0.00680259505797729
Actinomadura,0.006643975338872551
Nitrosomonas,0.006566915570488088
Leucobacter,0.006542753201779873
Microbacteriaceae,0.006401756809925586
Hyphomicrobiaceae,0.006054626073603057
Sphingomonadaceae,0.006046196393049825
Methylocaldum marinum,0.006044244931913866
Flavisolibacter,0.005953931404658701
Adhaeribacter,0.005870790564849588
Xanthomonadaceae,0.005769486476297311
Sphingorhabdus,0.0056223622993610166
Blastocatella,0.005521350605166437
Mycobacterium,0.00551120292115799
R7C24,0.005483058388670112
S0134 terrestrial group,0.005426941192598688
Flavobacteriaceae,0.005384303632834435
Nocardioides,0.005379773147168315
Rhodothermaceae,0.0052697879887538485
Burkholderia-Caballeronia-Paraburkholderia,0.005263200405728413
Membranicola,0.0052377768575626255
Afifella,0.005234719465758653
UTBCD1,0.00519327554313889
Terrimonas,0.005135942769533049
Gelidibacter,0.005106475187376434
Ochrobactrum,0.005088865378863713
Ferruginibacter,0.005027993544969686
Flavobacterium sp. WW21,0.004992407099634092
Leifsonia,0.004846966746210153
Altererythrobacter,0.004805675490845991
Dongia,0.0045891978225469565
Acinetobacter,0.004502057459721501
Methylocaldum,0.004454673591650258
Bacillus,0.004415610445864161
Persicitalea,0.0044045981969666175
Paeniglutamicibacter,0.0043632292441217295
Ignavibacteriales,0.004341663070060417
Rhodothermus,0.004222733868439288
Actinophytocola,0.004221118018692648
Segetibacter,0.004218754446498744
Planifilum,0.004202688173465367
Streptomyces,0.004194418837657447
Microscillaceae,0.004180568568642096
Diplorickettsiaceae,0.00416987883430932
Chelatococcus,0.004103363825454665
Micromonosporaceae,0.004089681918800943
Sporocytophaga,0.004067353511836698
Flaviaesturariibacter,0.004064415063868539
OM60(NOR5) clade,0.004057505239040215
Xanthobacteraceae,0.004051936327120528
Aequorivita,0.0040376238066460735
Saccharothrix,0.0040345543394222074
Halomonas lutea,0.004024033222679097
Cyclobacteriaceae,0.004019935491614503
Saccharopolyspora rectivirgula,0.003971379562396637
Aquicella,0.00392819981607494
Acidobacteriaceae bacterium enrichment culture clone ANA-RAS-33,0.0038965021267579106
Arenibacter,0.0038957699870478604
Flavobacterium,0.003863742433105159
Longimicrobiaceae,0.003854025890843757
Pedobacter sp. WF1,0.003837648969933467
metagenome,0.0037674428511573215
Aliihoeflea,0.0037484924534574777
Noviherbaspirillum,0.0037311936437295057
Saccharomonospora thermoviridis,0.003661918069803559
Tianweitania,0.0036464345431103484
Cytophagaceae,0.003610964773625503
Pusillimonas,0.003600716698010891
Pseudomonas,0.003595847817515205
Ulvibacter,0.0034711233630845004
Sphingomonas,0.0033854288200420397
Mycobacterium sp. IFP4,0.0033843197975113315
Salinimicrobium,0.0033789564096426933
Cyclobacterium,0.003369607266317814
Blastocatellaceae,0.003292263357509121
Parvibaculum,0.003278602839118207
Psychrobacter,0.0032694652893326104
Candidatus Rhabdochlamydia porcellionis,0.003163889835942634
Niabella,0.003155317939686908
Parafilimonas,0.0031544045310303473
Anseongella,0.003130449535626839
Ellin6067,0.0031196763040575244
Thermobifida fusca,0.003117560473239578
Chitinophagaceae,0.002987925399800069
Beijerinckiaceae,0.002959445208198536
Mycetocola,0.0029137646170652523
Obscuribacterales,0.002913673375714957
anaerobic digester metagenome,0.0028728238666903745
Chryseobacterium,0.0028464670008941277
Alphaproteobacteria,0.0028330147291187116
Pontibacter,0.0028257909860525707
MND1,0.0028094238770803434
Taibaiella,0.0027952040713994037
Methylomonaceae,0.0027862047562892773
unidentified marine bacterioplankton,0.00275633233766005
SWB02,0.002750930602158938
Niastella,0.002735092416670515
Polaromonas,0.0027297960809805058
Nitrosospira,0.0027089790745286483
Mesorhizobium,0.0026863009222631204
bacterium enrichment culture clone D8,0.002684506703880029
Rhizobiaceae,0.0026740923278051527
Galbibacter,0.0026539581735902816
Opitutaceae,0.002627133279473897
Shinella,0.0026113984891053357
Saprospiraceae,0.002608255788998597
Rhodanobacter,0.0025692156755776434
Defluviicoccus,0.0025691216455637055
Devosia,0.0025504760007919944
Fodinicurvataceae,0.00254259737023707
Steroidobacter,0.002534387872629872
Frankiales,0.0024990835290285706
A4b,0.002484326402783968
Gaiella,0.0024713865654116007
Rhodanobacteraceae,0.0023741458936497616
Microbacterium,0.002366564539987816
Massilia,0.0023500387317230914
Acanthopleuribacter,0.002341918308942013
Aeromicrobium,0.002277241979928919
Sphingobium,0.0022509157920756816
Parapedobacter,0.0022269923717301034
Arachidicoccus,0.0022250665498080476
Euzebyaceae,0.002188002460816937
RB41,0.002180249772403713
Lysobacter sp. P28,0.002152641182016588
Geminicoccaceae,0.002143478020002815
Microtrichales,0.0021344623290856838
Azospirillaceae,0.0021223078092810106
Cutibacterium,0.0020967154922586825
Kineococcus,0.0020948356601792283
Actinobacteria,0.002087566083243361
MB-A2-108,0.0020800332485358605
Bacillus horikoshii,0.0020607916162648184
Parvibaculales,0.0020599676064666666
Hahella,0.002042067982500027
Kocuria,0.0020217911898002526
Pseudonocardia,0.002018157156632193
Proteobacteria,0.0019893065377217575
Methylococcales,0.0019800829909256195
Pricia,0.00195777143658842
Planktosalinus,0.0019543415316889035
Flavobacteriaceae bacterium ZBGKL12,0.0019141739356422756
Cellulosimicrobium,0.0019124469738421477
Ornithinimicrobium,0.00189478846952828
Micrococcaceae,0.0018872860378340024
Pantoea,0.0018736589896924257
Pseudoxanthomonas mexicana,0.001872510950242873
Rubrobacter,0.0018479002437197154
Intrasporangiaceae,0.0018240921226985718
Cytophaga,0.0018003899459187792
NS9 marine group,0.001759178112918835
Pseudofulvimonas,0.0017502378685012707
Micromonospora,0.0016616266558968412
Cnuella,0.0016417618099088247
Methylocaldum sp. E10a,0.0016328339216325086
Rhizobiales Incertae Sedis,0.0016300561769358214
Trichococcus,0.0016286936446598338
Gemmatimonadaceae,0.0015903924334139516
Blastomonas,0.0015859210870342593
'Lysobacter humi' Lee et al. 2016,0.0015500462786086015
Cellvibrionaceae,0.0015276878250849093
Gaiellales,0.0015251484259699857
OLB13,0.001427002422142327
Porphyrobacter sp. SX2RGS8,0.0014258681102139181
Gordonia,0.0013943652867955591
Chujaibacter,0.0013896579127833225
OLB14,0.0013721564805529148
KD4-96,0.0013707805809412654
Promicromonospora,0.0013500507107595805
Actinomarinales,0.0013229837905113096
Nibribacter,0.0012932549944810713
Methylococcus,0.0012787660346084873
Ferrovibrio,0.0012740163231589339
Pseudomonas pertucinogena,0.0012725429435840139
Subgroup 6,0.001208422099041416
Exiguobacterium,0.0011894467109257807
Microvirga,0.0011494107877599406
Acidimicrobiia,0.0011177289734097958
Rubellimicrobium,0.001095721736792301
67-14,0.0010737023903401052
Sericytochromatia,0.0010648765337441905
Nocardioidaceae,0.0010375708262823277
Olivibacter,0.0010017004567193064
Rhodospirillales bacterium L96,0.0009944423860960264
Skermanella,0.0009868668167136616
Candidatus Alysiosphaera,0.0009456480673226536
Steroidobacteraceae,0.0009454233461038432
unidentified,0.0009453928321442983
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.0009314838127224824
Leadbetterella,0.0008622115912237935
Rhodococcus,0.0008570953387379078
Agromyces,0.0008541246351871268
Gitt-GS-136,0.0007962942235235595
Caulobacter,0.0007859972100274039
Blastococcus,0.0007842382198337042
Azospirillum,0.0007762784400582073
Acetobacteraceae,0.0007609696999066107
Sphingobacterium jejuense,0.0007482952294363986
