,PlasticTypeGeneral
Snowella 0TU37S04,0.024775861407512673
Candidatus Aquirestis,0.024408021538977035
Oxyphotobacteria,0.018315936249218404
Aphanizomenon MDT14a,0.016849455190700652
Nodularia PCC-9350,0.014176664102050228
hgcI clade,0.014017428867506562
NS3a marine group,0.012929511066357563
Aphanizomenon NIES81,0.01219077761757706
PeM15,0.012083124502029384
OM182 clade,0.010814601660217775
Sporichthyaceae,0.010466765069510914
CL500-29 marine group,0.01011731402266983
Magnetospiraceae,0.009476061912938144
Cyanobium PCC-6307,0.009437955350269705
MWH-UniP1 aquatic group,0.009104547878053587
Synechocystis PCC-6803,0.00872827240344729
OM43 clade,0.008318613945640077
NS5 marine group,0.008241764130735038
NS11-12 marine group,0.008170006340828385
Litoricola,0.00809782375195849
Terrimicrobium,0.0077559293100524515
Clade III,0.0077446069509269945
Pseudomonas,0.0076926842569522876
Candidatus Planktophila,0.0074780906953942124
Lacunisphaera,0.007296416546238745
Burkholderiaceae,0.006787051998256294
Delftia,0.006772949679519293
Cryomorphaceae,0.006708999282904679
Candidatus Aquiluna,0.0066553814022252255
Flavobacterium,0.006259901649433411
Methylacidiphilaceae,0.006239189306770354
Cephaloticoccus,0.00616041773184676
AEGEAN-169 marine group,0.006002973462705277
Rhizobiaceae,0.00568607910961452
RS62 marine group,0.005671791306359949
Rhodobacteraceae,0.005659222057121664
Alphaproteobacteria,0.005538262778048388
Isosphaeraceae,0.005426824858290837
Proteobacteria,0.005298884574274321
Arcobacter,0.005098655034119912
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.005041253060775943
Rheinheimera,0.004968422419800875
Methylotenera,0.0047684188666660896
OM27 clade,0.004709368986172675
Aeromonas,0.004470387267787429
Sphingomonadaceae,0.004456815084820291
Fluviicola,0.00441014424902427
Diplosphaera,0.004227027634616483
Rhodospirillales,0.004060883483762567
Sandaracinaceae,0.004053029423213526
Ga0077536,0.004039934580779257
Actinobacteria,0.004035132505300035
Gammaproteobacteria,0.004012168835791723
Maritimimonas,0.004007646703750351
Roseomonas,0.003972237959998332
Lewinella,0.003945553307863068
Brevundimonas,0.00392888176163762
Microtrichaceae,0.0038358437977085657
CL500-3,0.003813542448433603
Cellvibrio,0.0037826396223303925
SAR11 clade,0.0037450045882932038
Pseudanabaena PCC-7429,0.003724733940226549
Lutibacter,0.0036623313548355702
Sphingorhabdus,0.0036519694029446235
Hoeflea,0.003622800302075655
Saprospiraceae,0.00362181565204181
SAR92 clade,0.0034352520943170084
