,PlasticTypeGeneral
Snowella 0TU37S04,0.024387112050522443
Candidatus Aquirestis,0.021194043028013945
Aphanizomenon MDT14a,0.0180589102777938
Nodularia PCC-9350,0.016680879816818775
Oxyphotobacteria,0.014461972645110947
hgcI clade,0.013459038880202744
Aphanizomenon NIES81,0.012329178197023817
CL500-29 marine group,0.011048350721773499
Sporichthyaceae,0.010990672833347726
Magnetospiraceae,0.009971837052099652
MWH-UniP1 aquatic group,0.009401118901356333
actinobacterium SCGC AAA023-D18,0.009232116168226234
OM182 clade,0.009105764544906827
PeM15,0.00846795426511178
Cyanobium PCC-6307,0.00836082442045962
Delftia,0.008198610025756801
Litoricola,0.008142698172241442
OM43 clade,0.007967052030366354
Candidatus Planktophila,0.007894543426123942
Clade III,0.007803571798899301
NS5 marine group,0.007710923895909955
Synechocystis PCC-6803,0.007140003157847894
Rhodobacteraceae,0.006852141051186049
Proteobacteria,0.006712766197752241
Burkholderiaceae,0.006654059411614673
Cephaloticoccus,0.0064608008256318026
AEGEAN-169 marine group,0.006326990441941048
Flavobacterium,0.006259683744428192
OM27 clade,0.00624609640040115
Methylotenera,0.006226008346697521
Pseudomonas,0.006181310609684903
Methylacidiphilaceae,0.005935487582913493
Rhizobiaceae,0.005909683371220534
Candidatus Aquiluna,0.005886885813537729
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.0058123320343060865
Diplosphaera,0.005687870603078611
Arcobacter,0.005420393430983795
Terrimicrobium,0.005374208011372936
NS11-12 marine group,0.005269615049262989
RS62 marine group,0.005235595543843224
Actinobacteria bacterium IMCC26103,0.005226298150570453
Cryomorphaceae,0.005207284061404077
Rheinheimera,0.005103575051514215
Hoeflea,0.005008924583171757
Rhodospirillales,0.00498624205681187
Isosphaeraceae,0.00495077140329407
Alphaproteobacteria,0.004921005901621367
Mesorhizobium,0.004845641331687686
Roseomonas,0.004764570024079977
Algoriphagus,0.004761644853019751
Vibrio,0.004677272958358662
Sphingomonadaceae,0.004431239469930002
Brevundimonas,0.004372114385056436
Flavobacteriaceae,0.004333292630153428
JGI 0000069-P22,0.004246633732298789
marine metagenome,0.00420763491903011
Lewinella,0.004181807532407952
CL500-3,0.0041211146608948045
Sandaracinaceae,0.004112896398113311
Lutibacter,0.004089884918776858
Pseudanabaena PCC-7429,0.004077970938649227
SAR92 clade,0.0040556761944396435
CK06-06-Mud-MAS4B-21,0.004026192384754592
NS3a marine group,0.003977410325472152
Aeromonas eucrenophila,0.003926362395691309
Gammaproteobacteria,0.003789973216188354
Fluviicola,0.0037475289606568986
Ga0077536,0.0037317199048834925
Sphingorhabdus,0.0037019978875484755
SAR11 clade,0.00356010953971264
Saprospiraceae,0.0034063544435600362
Cellvibrio,0.0033205906836339815
Novosphingobium,0.003296502673136356
Candidatus Megaira,0.003295870648418738
Gaiellales,0.0032792727849654886
Micavibrionaceae,0.0032746824624204558
Pirellulaceae,0.0032501290101802915
Roseivirga,0.003227747905681872
Halieaceae,0.0031621698763495405
Micavibrionales,0.003098500697602381
NS9 marine group,0.003094959364194429
Actinobacteria,0.003093855629152739
Gleocapsa,0.003028774896258658
Saccharimonadales,0.003026512901861949
Clade Ia,0.0030113715583055334
metagenome,0.0030048507653884665
OM190,0.0029844141941548167
Rubinisphaeraceae,0.0029721956162881806
Sphingomonas,0.00296560406874058
Rickettsiaceae,0.0029295358942262764
Pseudohongiella,0.0028981592138638762
Microbacteriaceae,0.002833445355622677
LD29,0.0027591749946326793
Shewanella,0.002727837202777011
Puniceispirillales,0.002560197683833638
Microtrichaceae,0.002555527978855153
Saccharospirillaceae,0.0025199789569998006
Candidatus Paracaedibacter,0.002474301770608038
Paracaedibacteraceae,0.0024727648131844466
Bradymonadales,0.0024641813456984475
Pelagicoccus,0.0024460493436441314
Sphingobium,0.002343132876525858
Mycobacterium,0.0023428215643409175
Flavobacteriales,0.002333970503157101
Chitinophagales,0.002322780720123778
Cellvibrionaceae,0.0023024278666497603
Terasakiellaceae,0.0022934899213993853
Thalassobaculum,0.0022896248041869255
bacterium Sq1_host,0.0022762050550448674
Salinirepens,0.0022564759437317403
Muricauda,0.0022463206449455497
Rubripirellula,0.0022430896739040517
Devosia,0.002233172059896823
SAR86 clade,0.0022237685175679955
Microtrichales,0.0022105496817540543
DEV007,0.0022037088047041006
Cerasicoccus,0.002202430849114159
Rhodococcus,0.0021979558829913265
Halobacteriovorax,0.002193042981601891
Arenicellaceae,0.0021723324555825052
Prosthecobacter,0.0021081214502710237
Gemmatimonas,0.002101493822173594
Pirellula,0.0020906625177147006
Cyclobacteriaceae,0.002083827275905924
Acinetobacter,0.002077765306440452
JG36-TzT-191,0.0020550326707000012
Polynucleobacter,0.002054294610237663
Hyphomonas,0.002048722119744103
Luteolibacter,0.002044496423480606
Pseudoalteromonas sp. BS6_78,0.002015927909660549
Pedosphaeraceae,0.00199440013937314
Blastopirellula,0.0019934243633382286
Marinomonas,0.0019925253876375178
Phenylobacterium,0.0019824307150683243
Synechococcus CC9902,0.0019652281603154136
Unknown Family,0.001960924561890139
Planktothrix NIVA-CYA 15,0.001960544459488623
Aquimonas,0.0019448326254075552
Amoebophilaceae,0.0019268995943293834
SM1A02,0.0019234114596678503
Namhaeicola litoreus,0.0018932668335765073
Caedibacter caryophilus,0.0018876959529491246
Maribacter,0.0018875464068864982
MD3-55,0.0018848317726415044
Caldilineaceae,0.0018653247957476343
Schleiferia,0.0018400151961428446
Filomicrobium,0.0018331463616635926
Microbacterium,0.0018319445218148384
Kordiimonas,0.0018172371376359332
Bdellovibrio,0.0017898088410362313
Verrucomicrobiaceae,0.0017664805439033973
Candidatus Tenderia,0.0017596833005438229
EF100-94H03,0.0017512877645427672
Bacteroides,0.0017465125860694638
Albirhodobacter,0.0017365773622844112
PS1 clade,0.0017246275711724436
Stappiaceae,0.0017156725397057088
Planktomarina,0.0017119567879349202
Lysinibacillus,0.0017021627355874938
Urania-1B-19 marine sediment group,0.0017015848570423294
Crocinitomix sp. 0182,0.0016969546289492196
Luminiphilus,0.0016795804191585123
Ulvibacter,0.0016409172330559606
Bacteroidia,0.0015983913268051047
Pedobacter,0.0015952525213069953
Alteromonadaceae,0.0015770850163566547
Uliginosibacterium,0.0015650846933028739
Peredibacter,0.0015626364137127477
Sva1033,0.0015462631682209372
Oceanobacter,0.001543934877885986
Rhodopirellula,0.0015425165945088058
Blfdi19,0.0015207351257539778
Caenarcaniphilales,0.001505525883046621
Bradyrhizobium,0.0014796407747420884
Alteromonas,0.0014771520641064398
Flavobacteriaceae bacterium LE20,0.0014731722294503776
OM60(NOR5) clade,0.0014618693103018018
Clade I,0.0014549683335622705
Neptunomonas,0.0014522247716693972
Altererythrobacter sp. KYW736,0.0014408466117596548
Thalassospira,0.0014327868785675587
Undibacterium,0.0014251107181891126
Pir4 lineage,0.0014212834651446797
Ilumatobacter,0.0014177348397287181
Oleiphilus,0.0013907642134435947
Rhizobiales Incertae Sedis,0.0013887003717160372
Escherichia-Shigella,0.0013827452964394692
Midichloriaceae,0.0013812700906159008
Sphingopyxis,0.0013810367722992547
Sva0081 sediment group,0.0013784989664830673
Spongiibacteraceae,0.0013738247301964695
P3OB-42,0.001366380078204751
Tistrella,0.001349414415758874
Microscillaceae,0.0013445214888103466
