,PlasticTypeGeneral
Marinimicrobia (SAR406 clade),0.14744389615113362
Cyanobacteria,0.0994159860618024
Verrucomicrobia,0.09643873356922664
Proteobacteria,0.0794922402127334
Bacteroidetes,0.0764130171515001
Planctomycetes,0.07198403500610591
Actinobacteria,0.042594225277605584
Epsilonbacteraeota,0.033094293767565494
Firmicutes,0.03182967934707319
Acidobacteria,0.0311102100393867
Gemmatimonadetes,0.026012987613561526
Dadabacteria,0.025662334847936667
Chloroflexi,0.0255074779765662
Patescibacteria,0.025469246849093484
Nitrospirae,0.018627478472444354
Fusobacteria,0.01782839001409453
Kiritimatiellaeota,0.01614721891119686
WPS-2,0.012276429224262716
Deinococcus-Thermus,0.012040142271527427
Lentisphaerae,0.011497646149801475
Calditrichaeota,0.011396307301706049
Thaumarchaeota,0.010706293795636918
Chlamydiae,0.010397235308583755
Latescibacteria,0.008226151738657157
Cloacimonetes,0.00738125306839687
Nitrospinae,0.006886041480528294
Atribacteria,0.006375909970212232
Fibrobacteres,0.004273087836559919
Spirochaetes,0.004042945717860256
Entotheonellaeota,0.003856154263893825
Euryarchaeota,0.003401601868001138
Synergistetes,0.0033277301680062136
WS4,0.00267124848028897
Thermotogae,0.0024701964084589017
Hydrogenedentes,0.002290789369731104
Armatimonadetes,0.0016925685051344462
Omnitrophicaeota,0.0016773150497774764
LCP-89,0.0015975906960427595
Nanoarchaeaeota,0.0014585301112690007
Tenericutes,0.0013409014979395264
Dependentiae,0.0012652018089960035
Zixibacteria,0.0007138345519877939
Halanaerobiaeota,0.00047667297347836886
BRC1,0.00046543269814547085
Acetothermia,0.00038445030221801824
Rokubacteria,0.0001695100836073102
TA06,0.0001693760302638587
Score,0.6919831223628692
