,PlasticTypeGeneral
Enterobacteriaceae,0.0930713423915033
Thermoactinomycetaceae,0.039512373282965585
Rhodobacteraceae,0.03823087460937837
Bacillaceae,0.03149403810230261
Sandaracinaceae,0.02851691102717134
Planococcaceae,0.027878466553975214
Thermomonosporaceae,0.02677978502792543
Xanthomonadaceae,0.02352148688553413
Caulobacteraceae,0.022525456211207568
Sphingomonadaceae,0.02199943839211005
Burkholderiaceae,0.0201386818154032
Chitinophagaceae,0.01878198457225828
Hymenobacteraceae,0.018636281142703378
Micrococcaceae,0.01624025945320202
Rhizobiaceae,0.015662440919340007
BIrii41,0.015481468293880647
Microscillaceae,0.015177648606250434
Cytophagaceae,0.014669332557961894
Reyranellaceae,0.014627703836117981
Pseudonocardiaceae,0.014562613131394158
Sphingobacteriaceae,0.014352956875961284
Devosiaceae,0.013830906496533688
Microbacteriaceae,0.013458056264805151
Nitrosomonadaceae,0.012799109360175698
Blastocatellaceae,0.01270463530203444
Nocardioidaceae,0.011955617779207164
Beijerinckiaceae,0.01188682036592356
Weeksellaceae,0.011709744409993748
Mycobacteriaceae,0.011046145056452805
Dongiaceae,0.01086833661735619
Frankiales,0.010441810772551088
Gemmatimonadaceae,0.010238653889991338
Rhodanobacteraceae,0.010216295244654514
Cyclobacteriaceae,0.009644452597065159
Steroidobacteraceae,0.00942869951630893
Hyphomicrobiaceae,0.008554213242650285
Spirosomaceae,0.008418084235218759
Methylococcaceae,0.00834997990149936
Pseudomonadaceae,0.008298816420385966
Flavobacteriaceae,0.008250639702645514
Moraxellaceae,0.008221155525172595
Micromonosporaceae,0.00797876996210709
Saccharimonadales,0.007901493434579214
Solibacteraceae (Subgroup 3),0.0077300620054384945
A4b,0.007518381931137611
Opitutaceae,0.007350860934804309
Intrasporangiaceae,0.007017213918020605
S0134 terrestrial group,0.006635800244387069
Streptomycetaceae,0.006590285852552839
Chthoniobacteraceae,0.00613667375606023
Parvibaculales,0.005637136638311041
Saprospiraceae,0.005564446870791835
Halomonadaceae,0.005511775111043914
Geodermatophilaceae,0.005438726810454959
anaerobic digester metagenome,0.00536080698510907
Microtrichales,0.005311225296592745
unidentified,0.005263978749207712
Azospirillaceae,0.005231576666237374
OPB56,0.005207138255948992
Geminicoccaceae,0.005093804270107643
OLB14,0.00501715963856484
MB-A2-108,0.004696112200716985
Fodinicurvataceae,0.0045651836931754775
Nocardiopsaceae,0.004561483203538971
SJA-28,0.0045362255996396345
R7C24,0.004523085306277223
Euzebyaceae,0.0043799605400818694
Sericytochromatia,0.004324958164369848
Family XII,0.0040724177085551694
Acidimicrobiia,0.004057791844848797
Deinococcaceae,0.003990816197547265
Rhodothermaceae,0.0038567258613713944
Actinomarinales,0.0038247713125438457
Acetobacteraceae,0.00377743083095104
Actinobacteria,0.0037363219809712685
Subgroup 6,0.0035278337493640007
Alphaproteobacteria,0.0033990255495747715
Methylococcales,0.003340207762875864
Hyphomonadaceae,0.0032215420738827957
NS9 marine group,0.003122602608487753
Cellulomonadaceae,0.00298123043093829
Gaiellaceae,0.002806550488260783
Xanthobacteraceae,0.002802775619541456
Dietziaceae,0.002789947798866713
Longimicrobiaceae,0.0027835007024230095
Parvibaculaceae,0.002751233985721393
Rubrobacteriaceae,0.0027240816925298596
Diplorickettsiaceae,0.0026580456001072407
JG30-KF-CM45,0.0025862748652988785
Methylomonaceae,0.0025651948322957395
Pyrinomonadaceae,0.002544229642044342
Rhodobiaceae,0.002340571577629336
Nocardiaceae,0.0022722591764586008
Gitt-GS-136,0.002156459152449086
AKYG1722,0.0020635999704954238
Saccharimonadaceae,0.0019234145890933653
Rhodopirillaceae,0.001914961312214149
Gaiellales,0.0018275016429396365
Obscuribacterales,0.00177331118851138
Sneathiellaceae,0.001520298151434997
Promicromonosporaceae,0.0015143019501058731
67-14,0.0014124309441262072
Propionibacteriaceae,0.0013041024480458024
MWH-CFBk5,0.0010851774598922503
Proteobacteria,0.0008193136942878478
Cellvibrionaceae,0.0008081671178836247
Acanthopleuribacteraceae,0.0007866643406018295
KD4-96,0.0007126562707207578
Hahellaceae,0.0006543582441056112
Ignavibacteriales,0.0006398441400198758
Halieaceae,0.0005861340410730655
Rhizobiales Incertae Sedis,0.00037967098380415183
Kineosporiaceae,0.00028514545649235736
Simkaniaceae,3.106058018263034e-05
Glycomycetaceae,0.0
Cyanobiaceae,0.0
Carnobacteriaceae,0.0
Score,0.8
