,PlasticTypeGeneral
Enterobacteriaceae,0.06328991283480481
Oceanobacillus,0.04706456706101319
Novibacillus,0.04219295855478856
Brevundimonas,0.03078245561123793
Paracoccus,0.02786153432068854
Bacillus,0.02006666791802688
Planococcaceae,0.018789040675044888
Sandaracinaceae,0.017149593638659037
Planifilum,0.016223676202519383
Actinomadura,0.016095992364440037
Planomicrobium,0.013923807703296891
Opitutus,0.013718503974691529
Arthrobacter,0.013194068354657014
Nocardioides,0.012437071581456183
Lysobacter,0.012370871141336776
Algoriphagus,0.012292102925219253
Chryseolinea,0.011801557560130151
Pedobacter,0.011100876092039498
Terrimonas,0.011029239575540807
Devosia,0.010676491156727475
Hyphomicrobiaceae,0.009902807811544127
Adhaeribacter,0.009445082525495467
Xanthomonadaceae,0.009346309570454738
Ferruginibacter,0.009334212595485072
Leucobacter,0.009276587847974704
Phenylobacterium,0.00921282365600897
Reyranella,0.009121618776277261
Mycobacterium,0.009007091005148148
Dongia,0.008748172481814717
Flavobacterium,0.008508899468183855
Saccharomonospora,0.008136948944053372
Shinella,0.00800457790546209
Saprospiraceae,0.007815390008717053
SJA-28,0.0074075355833944055
Rhizobiaceae,0.007348907158164796
Chitinophagaceae,0.007198408720940708
Methylocaldum,0.007117663698134982
Sphingomonadaceae,0.007058933034902961
Altererythrobacter,0.0068822903017424055
BIrii41,0.0067956646584482
Burkholderia-Caballeronia-Paraburkholderia,0.006424664086112077
Microscillaceae,0.006339395943346246
Paeniglutamicibacter,0.00611610234508048
Chryseobacterium,0.005912273849985022
Halomonas,0.005840799478370273
Streptomyces,0.005822306572575332
Larkinella,0.005732397052537191
Flaviaesturariibacter,0.00572731689158631
Dokdonella,0.005702546759763385
Sporocytophaga,0.005644249151575427
Ornithinimicrobium,0.005606550778544126
Nitrosomonas,0.005527489482570956
Flavitalea,0.0055140733139165034
Steroidobacter,0.005456865888288562
Saccharopolyspora,0.005387588107814829
Micrococcaceae,0.005366528884067714
Mesorhizobium,0.00524868233178256
Mycetocola,0.005167107468328004
Psychrobacter,0.005113148712431461
Pseudomonas,0.004970826338661929
Blastocatella,0.004961973170161799
Ohtaekwangia,0.004864883964344936
S0134 terrestrial group,0.004819058272397892
Arenimonas,0.004653775973447918
Bryobacter,0.004613036055188167
Aequorivita,0.004602492694277834
unidentified,0.004591842193315583
Flavobacteriaceae,0.004569022298986431
Sphingomonas,0.004566996740500066
Burkholderiaceae,0.004559893810663738
Flavisolibacter,0.004547664589732441
OPB56,0.004521973673191485
Frankiales,0.0044935647772429786
Cyclobacteriaceae,0.004460060967756612
Persicitalea,0.004430667451098301
Alphaproteobacteria,0.004418808420685016
Rubellimicrobium,0.004398698709982631
Micromonosporaceae,0.004328532191213571
Kocuria,0.004296830942770359
Tianweitania,0.004251252098837447
Ellin6067,0.00421914630502152
Microbacteriaceae,0.004178168725718194
Pontibacter,0.004095418787378486
anaerobic digester metagenome,0.004093760335695393
bacterium enrichment culture clone D8,0.004076842116966735
Microtrichales,0.004068260224117004
Rhodobacteraceae,0.003934235065743266
Fodinicurvataceae,0.003817380171103697
Gemmatimonas,0.003778638513703765
Thermobifida,0.0037491111294469404
Chthoniobacter,0.0037417189795041885
Membranicola,0.003693104218378793
OLB12,0.0036825644955441996
Skermanella,0.003627423874804755
Actinophytocola,0.003551866812774601
Acinetobacter,0.003281401359719866
Nocardioidaceae,0.0031304374596161384
Acetobacteraceae,0.003121517842809394
Rhodothermaceae,0.003086376469810388
Ochrobactrum,0.0028494891567467416
Parvibaculales,0.002831058483997888
Nibribacter,0.002793253021390246
OLB14,0.0027137347408015813
Sphingorhabdus,0.00265343750379354
Oerskovia,0.0025510432562486853
Longimicrobiaceae,0.002476186362112954
Ferrovibrio,0.0024072432413799897
Pusillimonas,0.0022376040434000195
Aliihoeflea,0.002227663565405628
Cnuella,0.002199099848590539
Parvibaculum,0.002195757412662753
A4b,0.0021902480811661004
Cyclobacterium,0.0021399262667247173
Noviherbaspirillum,0.0021222717655716944
Geminicoccaceae,0.0021078565191332706
Gaiella,0.0020928572119237885
Microvirga,0.002080708557922648
SWB02,0.0020758476208127445
JG30-KF-CM45,0.002067640255713453
Hahella,0.0020629914499673786
Promicromonospora,0.0020552993884089357
Gitt-GS-136,0.00199557019044246
Saccharimonadales,0.0019607755675265354
Subgroup 6,0.0019300455860168644
Rhodococcus,0.0018981744891753132
Nitrosospira,0.001841643546967453
Parafilimonas,0.00184111788347744
Pseudofulvimonas,0.0018397039366192679
MWH-CFBk5,0.0018291554729903477
Blastocatellaceae,0.0018267930300975633
R7C24,0.0018236039643838
Segetibacter,0.0018147087384279626
Chelatococcus,0.0017661693707618287
Gelidibacter,0.001764861710976437
Deinococcus,0.0017647467666936532
Blastococcus,0.0017572067131730517
Arenibacter,0.001753486161258395
Rubrobacter,0.0017528732586444638
Niastella,0.0016910878282057876
Euzebyaceae,0.0016903680247666714
Anseongella,0.0016287502041884153
Cytophaga,0.00162269705872492
Saccharothrix,0.0016075564668070897
RB41,0.0015622419655246782
Dietzia,0.0014840978693651003
Microbacterium,0.0013850150349959797
Sphingopyxis,0.0013724251818426998
Aeromicrobium,0.0013537023849439082
Actinomarinales,0.0013253066874570234
Cellvibrionaceae,0.0011964683555623196
