Taxa,kingdoms,phyla,classes,orders,families,genera,species,aliphatic,biofilm,other plastic,planktonic,Importance,ANCOM
Family: Verrucomicrobiaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiales,Verrucomicrobiales,Verrucomicrobiales,0.20454545454545456,1.8035211267605635,0.3238805970149254,0.5434684684684683,0.011139043000000001,NS
Family: Rubritaleaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiales,Verrucomicrobiales,Verrucomicrobiales,0.1545454545454546,0.7454225352112678,0.25447761194029855,0.5096846846846845,0.011831956000000001,NS
Family: DEV007,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiales,Verrucomicrobiales,Verrucomicrobiales,0.4643939393939393,0.18591549295774648,0.10447761194029852,0.12837837837837848,0.006390206,NS
Genera: Prosthecobacter,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobiaceae,Verrucomicrobiaceae,0.06136363636363635,1.752112676056338,0.1738805970149254,0.402252252252252,0.009843537,NS
ASV2468: Prosthecobacter,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,Prosthecobacter,0.05984848484848484,1.7359154929577463,0.16791044776119401,0.39031531531531494,0.006303466,NS
Species: Prosthecobacter,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,Prosthecobacter,0.06136363636363635,1.752112676056338,0.1738805970149254,0.402252252252252,0.008805056,NS
Genera: Luteolibacter,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritaleaceae,Rubritaleaceae,0.03712121212121212,0.5830985915492957,0.05,0.3137387387387387,0.005030051,NS
Species: Luteolibacter,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,Luteolibacter,0.03181818181818182,0.5785211267605633,0.042537313432835816,0.28963963963963957,0.005476793000000001,NS
Species: DEV007,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007,DEV007,0.4643939393939393,0.18591549295774648,0.10447761194029852,0.12837837837837848,0.005372794,NS
Genera: DEV007,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007,DEV007,0.4643939393939393,0.18591549295774648,0.10447761194029852,0.12837837837837848,0.005514504,NS
Order: Methylacidiphilales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.040909090909090916,0.5313380281690138,0.10000000000000002,2.3317567567567568,0.024771962,NS
Order: Chthoniobacterales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.08030303030303032,1.4028169014084508,0.15149253731343282,2.5993243243243254,0.021712619,NS
Order: Verrucomicrobiales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.8234848484848483,2.7348591549295773,0.6828358208955224,1.1842342342342347,0.020171105,NS
Order: Pedosphaerales,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,Verrucomicrobiae,0.013636363636363636,0.06232394366197182,0.018656716417910446,0.17004504504504514,0.006141547,S
Family: Pedosphaeraceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaerales,Pedosphaerales,Pedosphaerales,0.013636363636363636,0.06232394366197182,0.018656716417910446,0.17004504504504514,0.00556094,S
Family: Methylacidiphilaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilales,Methylacidiphilales,Methylacidiphilales,0.040909090909090916,0.5313380281690138,0.10000000000000002,2.3317567567567568,0.01649798,NS
ASV2441: Methylacidiphilaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilaceae,Methylacidiphilaceae,0.040909090909090916,0.5313380281690138,0.10000000000000002,2.3317567567567568,0.009271083000000001,NS
Species: Methylacidiphilaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilaceae,Methylacidiphilaceae,0.040909090909090916,0.5313380281690138,0.10000000000000002,2.3317567567567568,0.012694293,NS
Genera: Methylacidiphilaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilaceae,Methylacidiphilaceae,0.040909090909090916,0.5313380281690138,0.10000000000000002,2.3317567567567568,0.013029478,NS
Species: Terrimicrobium,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,Terrimicrobium,0.010606060606060605,0.11021126760563382,0.006716417910447761,0.4322072072072073,0.005511322,S
Family: Chthoniobacteraceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacterales,Chthoniobacterales,Chthoniobacterales,0.0696969696969697,1.292605633802817,0.14477611940298507,2.167117117117117,0.019783081,NS
Family: Terrimicrobiaceae,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacterales,Chthoniobacterales,Chthoniobacterales,0.010606060606060605,0.11021126760563382,0.006716417910447761,0.4322072072072073,0.006751091,S
ASV2457: LD29,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,LD29,0.0696969696969697,1.2538732394366199,0.13880597014925375,2.0984234234234234,0.010098333000000001,NS
Species: LD29,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,LD29,0.0696969696969697,1.292605633802817,0.14477611940298507,2.167117117117117,0.013405941000000001,NS
Genera: LD29,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacteraceae,Chthoniobacteraceae,0.0696969696969697,1.292605633802817,0.14477611940298507,2.167117117117117,0.014645096000000002,NS
Class: Verrucomicrobiae,Bacteria,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,Verrucomicrobia,0.9621212121212122,4.732394366197187,0.9582089552238804,6.4304054054054065,0.058259843,NS
Order: Proteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,0.0,0.34049295774647886,0.3238805970149254,0.01328828828828829,0.006502563,NS
Class: Gammaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,32.90530303030304,11.463732394366199,23.69552238805969,21.477252252252253,0.07396446799999999,NS
Class: Alphaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,19.45681818181817,9.96267605633802,16.729104477611944,12.188963963963975,0.071567854,NS
Class: Deltaproteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,1.468181818181818,2.511267605633802,3.4649253731343284,0.6072072072072072,0.062164948,NS
Class: Proteobacteria,Bacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,0.0,0.34049295774647886,0.3238805970149254,0.01328828828828829,0.021723235,NS
Family: Xanthomonadaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales,Xanthomonadales,Xanthomonadales,0.17803030303030307,0.08767605633802816,0.3291044776119403,0.12747747747747742,0.006244424,NS
Family: Vibrionaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionales,Vibrionales,Vibrionales,0.11363636363636363,0.12077464788732396,0.29477611940298515,1.231981981981982,0.006875519,NS
ASV4465: Vibrio,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio,0.0030303030303030303,0.0035211267605633804,0.026865671641791045,0.45157657657657657,0.005604987,NS
Family: SAR86 clade,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,SAR86 clade,SAR86 clade,SAR86 clade,0.0,0.10985915492957747,0.004477611940298508,1.1328828828828825,0.0052066659999999996,S
Family: Pseudomonadaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadales,Pseudomonadales,11.908333333333331,1.863028169014085,6.7768656716417945,2.38490990990991,0.017792811000000002,NS
Family: Moraxellaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadales,Pseudomonadales,1.7439393939393941,0.2919014084507042,0.4865671641791044,0.4538288288288287,0.013901407,NS
ASV4107: Pseudomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas,2.187121212121212,0.24612676056338026,0.37611940298507474,0.17657657657657658,0.006665608000000001,NS
Species: Pseudomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas,11.908333333333331,1.863028169014085,6.7768656716417945,2.38490990990991,0.013279701999999999,NS
Genera: Pseudomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadaceae,11.908333333333331,1.863028169014085,6.7768656716417945,2.38490990990991,0.011224173,NS
Genera: Acinetobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxellaceae,Moraxellaceae,1.620454545454545,0.24119718309859156,0.4059701492537315,0.25743243243243247,0.009210717,NS
ASV4070: Acinetobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter,1.0598484848484848,0.09612676056338038,0.35746268656716434,0.09617117117117127,0.006344578000000001,NS
Species: Acinetobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter,1.620454545454545,0.24084507042253522,0.4059701492537315,0.2468468468468469,0.009248203,NS
Genera: Pseudohongiella,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiellaceae,Pseudohongiellaceae,0.0909090909090909,0.2982394366197183,0.185820895522388,1.260135135135135,0.00928651,NS
Species: Pseudohongiella,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,Pseudohongiella,0.08106060606060604,0.2440140845070422,0.1761194029850746,1.21509009009009,0.006737891,NS
Family: Pseudohongiellaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales,Oceanospirillales,0.0909090909090909,0.2982394366197183,0.185820895522388,1.260135135135135,0.015685606,NS
Family: Marinomonadaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales,Oceanospirillales,0.9780303030303028,0.19718309859154942,1.0895522388059702,0.2513513513513513,0.007917384,NS
Family: Alcanivoracaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales,Oceanospirillales,0.12045454545454544,0.04859154929577464,0.12238805970149252,0.0657657657657658,0.007418579000000001,NS
Family: Saccharospirillaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales,Oceanospirillales,0.49393939393939396,0.07464788732394369,0.27313432835820894,0.247072072072072,0.0066917090000000005,NS
Family: Nitrincolaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales,Oceanospirillales,0.7772727272727272,0.2123239436619719,0.30746268656716425,0.6518018018018019,0.005316987,NS
Species: Marinomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Marinomonadaceae,Marinomonas,Marinomonas,0.9780303030303028,0.19718309859154942,1.0895522388059702,0.2513513513513513,0.00562383,NS
Genera: Marinomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Marinomonadaceae,Marinomonadaceae,Marinomonadaceae,0.9780303030303028,0.19718309859154942,1.0895522388059702,0.2513513513513513,0.005502648000000001,NS
