,PlasticTypeGeneral
Bacteroidia,0.129100503
Alphaproteobacteria,0.083991649
Campylobacteria,0.100576243
Gammaproteobacteria,0.059123795
Planctomycetacia,0.044397029
Actinobacteria,0.054425531
Deltaproteobacteria,0.071725609
Anaerolineae,0.027638322
Oxyphotobacteria,0.039128238
Nitrospira,0.04170877
Verrucomicrobiae,0.031763341
Fusobacteriia,0.043579365
Armatimonadia,0.024138626
Clostridia,0.031928076
Ignavibacteria,0.026738027
Chloroflexia,0.023191957
Subgroup 6,0.012898708
Deinococci,0.008659311
Thermoanaerobaculia,0.011085384
Bacilli,0.012163568
Negativicutes,0.016839765
Gemmatimonadetes,0.013229442
Acidimicrobiia,0.011349632
Erysipelotrichia,0.022229552
OLB14,0.017569684
KD4-96,0.014583087
Acidobacteriia,0.0092712
Gracilibacteria,0.001504745
Phycisphaerae,0.002585837
Babeliae,0.002412954
Parcubacteria,0.002477803
Thermoleophilia,0.00303486
vadinHA49,0.002770702
Spirochaetia,0.000975185
BRH-c20a,7.13E-05
Leptospirae,0.000603106
V2072-189E03,0.000327547
Holophagae,0.000201578
Sericytochromatia,0
Gitt-GS-136,0
Score,0.734375
OOB_score,0.686507937
