,PlasticTypeGeneral
Alphaproteobacteria,0.113901567
Gammaproteobacteria,0.125219138
Actinobacteria,0.134373871
Thermoleophilia,0.016842413
Chloroflexia,0.03878532
Bacteroidia,0.094037827
Anaerolineae,0.04739859
Rhodothermia,0.054515246
Nitriliruptoria,0.019996136
S0134 terrestrial group,0.060446629
Gitt-GS-136,0.016028713
Bacilli,0.048552265
Acidimicrobiia,0.010127058
Blastocatellia (Subgroup 4),0.075597373
Deltaproteobacteria,0.043678363
Gemmatimonadetes,0.061295912
Deinococci,0.015041568
Saccharimonadia,0.008142063
Ignavibacteria,0.000942265
Melainabacteria,0.014172125
Holophagae,0.00090556
Chlamydiae,0
Score,0.6
OOB_score,0.307692308
