,PlasticTypeGeneral
Acinetobacter,0.022606557
Xanthomonadaceae,0.025402663
Microscillaceae,0.020524219
Dongia,0.012892558
JG30-KF-CM45,0.018376879
Saccharopolyspora rectivirgula,0.013383459
Gaiella,0.016725114
S0134 terrestrial group,0.008784755
Niastella,0.006026804
Actinobacteria,0.012777344
Membranicola,0.008061514
Defluviicoccus,0.011804643
Terrimonas,0.020089028
Actinophytocola,0.03493245
Chitinophagaceae,0.022894201
Sandaracinaceae,0.010586773
Brevundimonas,0.024536652
Rhodothermaceae,0.010170626
Methylocaldum,0.01030206
Burkholderiaceae,0.012250428
Gitt-GS-136,0.009836072
Pseudomonas,0.01123088
SWB02,0.005822346
Sphingomonadaceae,0.008784448
Chryseolinea,0.020756721
Sphingomonas,0.005857149
Parafilimonas,0.005895933
Azospirillaceae,0.006165645
anaerobic digester metagenome,0.015334448
Nocardioidaceae,0.006756731
AKYG1722,0.007397774
Flavobacterium,0.017055358
Streptomyces,0.004328175
Geminicoccaceae,0.006244177
Micrococcaceae,0.005904611
Skermanella,0.007421908
Chryseobacterium,0.012641065
Devosia,0.013147267
Methylomonaceae,0.011615804
Euzebyaceae,0.005900061
Saccharomonospora thermoviridis,0.010826074
Actinomadura,0.012001853
Adhaeribacter,0.014252584
Dokdonella,0.025536023
Flavitalea,0.008352547
Kocuria,0.005931379
Cutibacterium,0.005938983
Rhizobiaceae,0.014940333
Blastococcus,0.004342675
Nitrosomonas,0.003530364
Flaviaesturariibacter,0.009977898
Gelidibacter,0.014156005
Blastocatellaceae,0.006705467
Psychrobacter,0.012479159
Ohtaekwangia,0.012572064
Rubellimicrobium,0.005734321
Bacillus kokeshiiformis,0.008726527
RB41,0.004413691
Fodinicurvataceae,0.007266155
Frankiales,0.003665538
Saprospiraceae,0.008958669
Arenimonas,0.00824584
Pedobacter sp. WF1,0.008671767
Microvirga,0.005016318
Enterobacteriaceae,0.010341953
Persicitalea,0.007882232
Lysobacter,0.004935791
Pedobacter,0.014984015
Flavisolibacter,0.003963459
Microtrichales,0.002033685
Cytophaga,0.004782506
bacterium enrichment culture clone D8,0.006821831
Algoriphagus,0.004623337
bacterium enrichment culture clone NCAAH 30N1,0.000957641
Microbacteriaceae,0.009421227
Methylocaldum sp. E10a,0.004606629
Actinomarinales,0.005949342
Arenibacter,0.004278223
Polaromonas,0.00353849
Acetobacteraceae,0.001919721
Bacillus,0.004537734
Blastocatella,0.004693263
Ochrobactrum,0.003563481
Gaiellales,0.002796155
Rhodothermus,0.004283947
Pseudomonas pertucinogena,0.001287913
Gemmatimonas,0.005788989
Cyclobacteriaceae,0.005708652
Arthrobacter,0.009455477
Paracoccus,0.004412279
Deinococcus,0.003410812
Flavobacterium sp. WW21,0.01097542
Anseongella,0.003674387
Halomonas lutea,0.005507082
MWH-CFBk5,0.002892333
Pseudoxanthomonas mexicana,0
Methylococcales,0.000374588
Rhodanobacteraceae,0.005523188
Cyclobacterium,0.00305728
Oerskovia,0.003616943
Pontibacter,0.003255352
Shewanella,0.002924397
Halomonas,0.003123512
Micromonosporaceae,0.001031676
Arachidicoccus,0.005009566
Obscuribacterales,0.000507331
Sphingorhabdus,0.003750778
BIrii41,0.002385838
Methylococcaceae,0.000893837
Massilia,0.014450094
Reichenbachiella,0.00052572
Saccharimonadaceae,0.002947697
Afifella,0.004025675
Mycobacterium sp. IFP4,0.002819785
Methylocaldum marinum,0.001533395
Alphaproteobacteria,0.002411685
unidentified marine bacterioplankton,0.005216793
Sphingobacterium jejuense,0.000376921
Diplorickettsiaceae,0.000280491
Pseudolabrys,0.000597454
MND1,0.002479133
Ignavibacteriales,0.000148193
Candidatus Alysiosphaera,0.002300384
Sphingobacterium shayense,0.002498132
Lysobacter sp. P28,0.000257195
Cellvibrionaceae,0.000417136
Porphyrobacter sp. SX2RGS8,0.001598081
Rhodanobacter,0.002837851
Leifsonia,0.002316391
CCD24,0.00139603
Salinimicrobium,0.00145811
Haliangium,0.001760941
Flavobacteriaceae,0.000827419
Pseudofulvimonas,0.000834527
TRA3-20,0.001465327
Roseovarius antarcticus,0.00069895
Galbibacter,0.000471933
Mycobacterium,0.000164499
NS9 marine group,0.000259952
Acanthopleuribacter,0.000519509
Methylococcus,0
Cryomorpha,0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.001800158
OM60(NOR5) clade,0.002526567
Candidatus Rhabdochlamydia porcellionis,0.00011222
Chujaibacter,0.000137319
Kineococcus,0.000177503
Truepera,0.000143258
Nitrolancea,0.000165043
Aeromicrobium,0
Agromyces,0
Aliihoeflea,0
Ulvibacter,0.00037774
Methylophilaceae,0
Olivibacter,0.000195382
Modestobacter,0
metagenome,0
Amycolatopsis,0
Azospirillum,0
Micromonospora,0.000209695
Parapedobacter,0
Microbacterium,0
Rhizobium sp. BtR 17,0.000355385
Shinella,0
Rhizobiales,0
Caulobacter,0
Cellulosimicrobium,0
Promicromonospora,0
Legionella,0
Leadbetterella,0
Saccharimonadales,0
Ferruginibacter,0
Rathayibacter,0
Reyranella,0
Hahella,0.0001946
Glutamicibacter,0
Nocardioides,0
Gordonia,0
Glycomyces harbinensis,0
Score,0.6
OOB_score,0.358974359
