,PlasticTypeGeneral
Snowella 0TU37S04,0.022554886102495578
Candidatus Aquirestis,0.021649547320736838
Aphanizomenon MDT14a,0.01574714154500268
Oxyphotobacteria,0.015419778618288681
hgcI clade,0.01412899477192334
Nodularia PCC-9350,0.013193701955545785
Sphingomonadaceae,0.011971086179286203
Cyanobium PCC-6307,0.011355651015999927
OM182 clade,0.011317113842576602
CL500-29 marine group,0.01031485159311058
Delftia,0.010230548999298678
Sporichthyaceae,0.01018560594804581
actinobacterium SCGC AAA023-D18,0.010161867785400357
Litoricola,0.009901837861374788
Magnetospiraceae,0.009766502740088895
OM43 clade,0.009669178893765914
MWH-UniP1 aquatic group,0.009473505227230916
RS62 marine group,0.00917640189445478
Aphanizomenon NIES81,0.009026447196874059
Proteobacteria,0.00888609642967216
Clade III,0.008787337070491444
NS5 marine group,0.008639556817764515
Candidatus Aquiluna,0.008151105100007478
Lewinella,0.008118076900315413
Pseudohongiella,0.007617891197393101
Pseudomonas,0.0075074114516229555
OM27 clade,0.007483741042812382
Rhodobacteraceae,0.0073146718293670985
PeM15,0.007139066220557675
Flavobacterium,0.0070837070367913086
Methylacidiphilaceae,0.006781267005285427
Cephaloticoccus,0.006763151971881031
Candidatus Planktophila,0.006590440000854886
Mesorhizobium,0.0065380786188085635
Rhizobiaceae,0.006508128564971445
Ga0077536,0.00635256049098467
Synechocystis PCC-6803,0.006328079765413473
Cryomorphaceae,0.006113359235134939
Terrimicrobium,0.006031309035733265
NS11-12 marine group,0.006026881296438285
AEGEAN-169 marine group,0.005977588786961185
Actinobacteria bacterium IMCC26103,0.005862228780373561
Sandaracinaceae,0.005400739919020196
Rubinisphaeraceae,0.005216130376073499
SAR92 clade,0.005143955507158531
Burkholderiaceae,0.005142408708547642
NS3a marine group,0.00469991068459847
Pirellulaceae,0.004694723218937226
Roseomonas,0.004656615525771272
Micavibrionaceae,0.004531540532479504
Flavobacteriaceae,0.0044704193789669045
Algoriphagus,0.004420120570879503
Isosphaeraceae,0.004395669761716956
Microtrichaceae,0.004214034655710292
LD29,0.004204584407726137
Saprospiraceae,0.0041747101073282
Actinobacteria,0.004134681209603767
Prosthecobacter,0.00412665995748602
Brevundimonas,0.00404015033398094
OM190,0.004027643095759032
Hoeflea,0.003967239202064671
CL500-3,0.00382624018540647
SAR11 clade,0.003599546999502367
Vibrio,0.0035642257461257487
Rheinheimera,0.003505725500985212
Alphaproteobacteria,0.003498109693853395
Candidatus Megaira,0.003489717337697715
bacterium Sq1_host,0.003421530697349069
Chitinophagales,0.003417032692943342
Rhodospirillales,0.0032559737100803588
Gammaproteobacteria,0.0032499750000608216
Filomicrobium,0.0031793955828060033
CK06-06-Mud-MAS4B-21,0.003155331780155509
Diplosphaera,0.0031380730561722694
Pseudanabaena PCC-7429,0.0031305029325706356
Novosphingobium,0.0030892428803810977
Methylotenera,0.0030870754659169976
metagenome,0.003056145981995832
NS9 marine group,0.0030473380463248733
Microbacteriaceae,0.003043659229189043
Arcobacter,0.0030358404568357686
Anderseniella,0.002980517946530125
Aeromonas eucrenophila,0.002946399957598817
Halieaceae,0.0029092693547872364
Maritimimonas,0.002885331875835786
Micavibrionales,0.0028679983593789472
Mycobacterium,0.0028643191104072885
Maribacter,0.0027993383815283286
Woeseia,0.002767073100251697
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.0027624501666769536
Fluviicola,0.002762233207104745
Luteolibacter,0.0027592121722029976
Clade Ia,0.002755312198778165
Schleiferia,0.0027394251021870116
Hyphomonas,0.0026913875478419653
Shewanella,0.0026414331352829423
Roseivirga,0.0026322571231091464
Blfdi19,0.0026319492174328566
Uliginosibacterium,0.0026169340911940324
Puniceispirillales,0.002565836552410072
Paracaedibacteraceae,0.002530442479218043
Bacteroidia,0.0025038896167646793
Devosia,0.002495273660316685
Salinirepens,0.00245405552587539
Acinetobacter,0.0024374943092361798
Bradymonadales,0.002414876934341064
SAR86 clade,0.0024072138947573186
Saccharimonadales,0.0024004800454954754
marine metagenome,0.002385919689266651
Verrucomicrobiaceae,0.002373306870324476
JG36-TzT-191,0.002368663001088086
Sphingorhabdus,0.0023668289218980562
JGI 0000069-P22,0.0023386408891225762
Albirhodobacter,0.0023312461950028038
Sphingomonas,0.0022639543903970444
Gaiellales,0.002248668484827372
Luminiphilus,0.0022251452544432507
Cellvibrio,0.002223352281525289
Thalassobaculum,0.00222113446433396
Bdellovibrio,0.0021911284422566324
Sphingobium,0.002158090878451277
Planktothrix NIVA-CYA 15,0.0021243297573860617
Marinomonas,0.0021128845494760165
DEV007,0.002091959069394481
soda lake metagenome,0.002068016533424204
Blastopirellula,0.0020490832945951392
Terasakiellaceae,0.002011610881189623
Cyclobacteriaceae,0.001997090310796147
Pedosphaeraceae,0.0019490983380148074
Rickettsiaceae,0.0019390675972145576
KI89A clade,0.0019122131267375597
Flavobacteriales,0.0018984840944344227
Pirellula,0.0018812127454215521
Saccharospirillaceae,0.001862111956870192
SM1A02,0.0018573634096487144
Aquimonas,0.0018283333909983196
Hyphomonadaceae,0.001823176033578759
Gleocapsa,0.0018098384705762304
Synechococcus CC9902,0.0018029983264579727
Caenarcaniphilales,0.0017994875468838978
Aquabacterium,0.001760740715229651
Sphingopyxis,0.0017399155561077305
Candidatus Tenderia,0.001713452041891136
OPB56,0.0016898511231260422
Caldilineaceae,0.0016877170158170565
Phenylobacterium,0.0016660395065712084
Stappiaceae,0.0016635664516945828
Sulfitobacter,0.0016476048015811482
Peredibacter,0.0016427260935013195
Sericytochromatia,0.0016365902839285142
Lysinibacillus,0.0016220346758796438
Bradyrhizobium,0.0016076809574282916
Undibacterium,0.0016058847022581886
NB1-j,0.0015984607530536293
Deltaproteobacteria bacterium SKP-2,0.001597045716093405
Rubripirellula,0.0015906120953141378
Clade I,0.0015875277689245415
Unknown Family,0.0015646283096758034
MD3-55,0.0015395108204139813
Lutibacter,0.0015327828284830679
Pseudahrensia,0.0015302635764929953
Hyphomicrobiaceae,0.001498003541675563
Deltaproteobacteria,0.001494176477478876
SAR324 clade(Marine group B),0.001459132898618394
Steroidobacteraceae,0.0014584655051634774
Microbacterium,0.0014491031695567597
Microtrichales,0.0014489250357511392
Candidatus Paracaedibacter,0.0014391977130208387
Tistrella,0.0014215318087751052
Urania-1B-19 marine sediment group,0.0014071236692279902
Crocinitomix sp. 0182,0.0014028890795667619
Acetobacteraceae,0.001401083691236718
Alteromonadaceae,0.00139742012262481
Anaerolineaceae,0.0013833367117475981
Arenimonas,0.001378638055764484
OM60(NOR5) clade,0.001375565994724741
Ulvibacter,0.0013727861777425828
Pedobacter,0.0013692095043863325
Rhodococcus,0.0013475816685832973
Muricauda,0.0013436332017251896
Flavobacteriaceae bacterium LE20,0.0013343754870368248
Rhodopirellula,0.001325835696430347
SAR116 clade,0.00131778122777087
Planktomarina,0.0013116632263287858
Namhaeicola litoreus,0.0013023185188754602
Midichloriaceae,0.0013020440953396886
Stappia,0.0012958083096769623
Desulfobacteraceae,0.0012779478316996588
Pir4 lineage,0.0012755017514356696
Halobacteriovorax,0.001273382404022743
Candidatus Nitrosopumilus,0.0012683714591925758
EF100-94H03,0.0012622664324606996
Pseudoalteromonas sp. BS6_78,0.0012457396069702074
Pelagicoccus,0.0012453586586951982
Planctomicrobium,0.001239167490758411
Gimesiaceae,0.0012384229363781056
Micropepsaceae,0.0012189566564465135
Robiginitalea,0.0012050480287399802
67-14,0.001198268390745697
Silvanigrella,0.0011694999578859726
Thalassospira,0.001162782444545055
Polynucleobacter,0.0011602869373130281
Coxiella,0.0011498074164560037
Verticia,0.0011416960868377301
Altererythrobacter sp. KYW736,0.0011193839365096687
Microscillaceae,0.0011186193855167014
Spongiibacteraceae,0.0011172591767870292
Arenicellaceae,0.0011098232090301279
Rhodocyclaceae,0.0011005276471038907
Legionella,0.001098046097394023
Methylophagaceae,0.0010891780136277258
Holosporaceae,0.0010787833208041938
Lutimonas,0.0010646492106910553
PS1 clade,0.0010392727994806821
Oceanobacter,0.001035814526979398
Caedibacter caryophilus,0.0010349414904547141
Escherichia-Shigella,0.0010220243150041689
Crocinitomicaceae,0.0010058560572759384
Marinicella,0.0010007291709146133
Neptunomonas,0.000997342272894568
Haloferula,0.0009965085840940064
mle1-27,0.0009893538122253977
Bacteroides,0.000988642966195755
Gemmatimonas,0.0009844862456380057
Marinoscillum,0.0009827765219227642
Fuerstia,0.0009800414613433193
Crocinitomix,0.0009751354340830767
Sva1033,0.000971703174238916
Kordiimonas,0.0009694512544575278
Latescibacteria,0.0009668890754211463
Cellvibrionaceae,0.0009611774750424455
Tenacibaculum,0.0009542421396085965
Sediminibacterium,0.0009518354943474501
Sulfurimonas,0.0009297053555737196
Pedomicrobium,0.0009290002664706572
Alcanivorax,0.0009241971802741831
Rhodanobacteraceae,0.0009218841572471476
Ilumatobacter,0.000919470157848075
Xanthomonadales,0.0009119630202357568
Lacihabitans,0.0009117349921848087
Bosea,0.0009089174358536312
Alteromonas,0.0009080245289116811
Gracilibacteria,0.0009079200547507925
Rhizobiales Incertae Sedis,0.0009078792842684287
Amoebophilaceae,0.0009074747560284132
BD1-7 clade,0.0009053372750571173
Subgroup 9,0.0009044783581222126
Psychrobacter,0.0009041883763476917
BD7-11,0.0009039484551770188
Algoriphagus sp. am2,0.0009027483227241394
PB19,0.0009006565450586006
PLTA13,0.0008964100067700797
Babeliales,0.0008876943563154372
Sva0081 sediment group,0.0008800623002914807
Leeuwenhoekiella,0.0008795692720178439
Vitellibacter,0.000875066242469283
Limnobacter,0.0008657980060556021
Fulvivirga,0.0008640567865480673
EPR3968-O8a-Bc78,0.0008596072953118836
Halioglobus,0.0008578135608608967
Hirschia,0.0008520241152594861
Gaetbulibacter,0.0008509542808614137
Methylophaga,0.0008482361264284444
AB1,0.0008453602398713082
Fodinicola,0.0008424019835983385
Chromatiaceae,0.0008422859900643505
KD4-96,0.0008403321745597136
Oceanicaulis,0.0008333502324107927
Cerasicoccus,0.0008330458947698944
Bdellovibrio bacteriovorus,0.0008236290808962852
SBR1031,0.0008122982980676239
Balneola,0.0007930645030426161
Arcobacter cryaerophilus,0.0007797084318454637
Aquabacterium citratiphilum,0.0007767241429122979
Haliangium,0.0007726084431774379
Microcystis PCC-7914,0.0007676716046826052
AT-s3-44,0.0007639652351824094
Rhodothermaceae,0.0007618795066720814
Desulfobulbaceae,0.0007608322482101995
SEEP-SRB1,0.0007555492234673411
Thiothrix,0.0007532714642683251
Bacteroidales,0.0007507522414824477
Oligoflexaceae,0.0007484815136023313
Chryseobacterium,0.0007479275438076527
Simiduia,0.0007365896238738011
IS-44,0.0007326976230130122
Marinobacter,0.0007223212032026682
Loktanella,0.0007208487019011727
Caulobacter,0.0007089242360335269
P3OB-42,0.0007066054425639648
Winogradskyella,0.0007047519492660903
Thalassotalea,0.0007033662238040044
Cutibacterium,0.0006945514027106458
Sphingobacteriales,0.0006856752860550348
Zoogloea,0.0006840996184692415
Nocardioides,0.0006802394515531008
Psychromonas,0.0006789529769537499
saltmarsh clone LCP-67,0.0006776478453108703
Ignavibacterium,0.0006731358471305434
Nannocystis,0.0006720278292833666
Beijerinckiaceae,0.0006717618783783956
Oleiphilus,0.000668727364950471
Nitrospira sp. Ecomares 2.1,0.0006676164110123256
Halomonas,0.000665569275108002
OLB13,0.00066482175869316
Steroidobacterales,0.000663158218640701
Kordiimonadales,0.000662106378972261
Kangiellaceae,0.0006610220680623031
Dokdonia,0.0006565141246149078
Portibacter,0.0006553978388388411
Desulfosarcina,0.0006543444880175326
Arenicella,0.0006536017266127577
Reichenbachiella,0.0006516260902650582
Porphyrobacter,0.0006485343599471437
IMCC26207,0.0006473015877210943
SM2D12,0.0006450599913106162
Candidatus Peregrinibacteria,0.0006385409391924637
Kordia,0.0006357666137037532
T34,0.0006351618290278299
Rickettsia,0.0006341052154557214
Ralstonia,0.0006297105193224183
Magnetospira,0.0006292336963033659
Pelagibacterium,0.0006273479639216621
Betaproteobacteriales,0.0006270585700698376
Bacteriovoracaceae,0.0006267672157764085
Aquibacter,0.0006256498669894819
Marinagarivorans,0.0006231908711921278
Sva0996 marine group,0.0006151107779847951
Bacteroidetes VC2.1 Bac22,0.0006093111155696619
Francisellaceae,0.0006089566161052601
Hyphomicrobium,0.0006048407010789376
Prolixibacteraceae,0.0005993015900067923
Pseudomonas sp. TN12,0.0005901826903279574
Run-SP154,0.0005851416136274675
Desulfuromonadales,0.0005848243452684097
B2M28,0.0005835281072825409
Hyaloperonospora arabidopsidis,0.0005832241381495851
Caulobacteraceae,0.0005827134386311127
Legionellaceae,0.0005814625858846406
Bacteriovorax,0.0005792764406079582
Colwelliaceae,0.0005776309894542359
Nisaea,0.0005722738758114812
Subgroup 23,0.0005700388446481995
Algoriphagus sp. LAM9151,0.0005671998318274164
Oceanibaculum,0.0005656964584741594
[Agitococcus] lubricus group,0.0005641959854419113
Taeseokella,0.0005641235332554895
Bythopirellula,0.0005606768753681809
microbial mat metagenome,0.0005522795749955247
Pseudoxanthomonas mexicana,0.0005489606612689595
Truepera,0.0005447735851202159
