,PlasticTypeGeneral
Polynucleobacter,0.022080486669072405
Candidatus Aquiluna,0.021816539577842055
Propionispira,0.020604966764653915
Sporichthyaceae,0.01966819526889514
Fluviicola,0.018848134077820797
Aquabacterium,0.017356115793645262
Candidatus Planktophila,0.015008404691719743
hgcI clade,0.014676164439485447
Sediminibacterium,0.01357019919353001
Devosia,0.013361787451889462
Algoriphagus,0.013162691470202955
Azospira,0.01262790911635698
Saprospiraceae,0.010445430731054608
Terrimonas,0.010423759254922067
Cryomorphaceae,0.010301427778593678
Verrucomicrobiae,0.010172778381588388
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.01016351085159681
Candidatus Omnitrophus,0.010146836926990374
Clade III,0.009682079936103065
Microscillaceae,0.008892764373051516
Haliscomenobacter,0.007908309750892739
Chitinivorax,0.007697447394522679
Rheinheimera,0.007678431609500721
Burkholderiaceae,0.007454655500844313
Rhodocyclaceae,0.007187950787480874
Rhizobiales,0.0071861346291700445
Rhizobiales Incertae Sedis,0.0070641256169610275
Candidatus Methylopumilus,0.0069915136192033505
OLB12,0.0067466466079843055
Hyphomicrobiaceae,0.0067438507923085365
Subgroup 6,0.006732845274827906
Pseudomonas,0.006674061893629768
Sphingomonadaceae,0.0065596262653746
Dechloromonas,0.006326360092157618
Hyphomicrobium,0.006147768452314489
Flavobacterium,0.006129006516364781
Pseudarcicella,0.006118082922137877
Rhodobacteraceae,0.006088692939124064
Undibacterium,0.005921983367142526
Candidatus Planktoluna,0.0058584596014229955
A4b,0.0057823741687682865
Shuttleworthia,0.005739501298216637
Phreatobacter,0.0056905764035855
Micrococcaceae,0.005567053827700765
Sphingobacteriaceae,0.0055647325078833
Sulfurospirillum,0.005541717024307389
Sphaerotilus,0.00535920056439237
BIrii41,0.005135501162207897
Cupriavidus,0.0050377324039170175
Verrucomicrobiaceae,0.004983755290992246
NS11-12 marine group,0.004938546398777366
Acinetobacter,0.004900509971419329
Betaproteobacteriales,0.00474179304352762
Arcobacter,0.004717805372401154
Oceanobacter,0.004635208534936886
C39,0.004479314317679527
metagenome,0.004468594798433432
Microcystis PCC-7914,0.004385458016829025
Stenotrophomonas,0.00437793237006546
Chthoniobacter,0.004239975594020836
Nitrosomonas,0.004230640820810617
Aquimonas,0.00420063753233103
SWB02,0.004130745915125079
Chitinophagaceae,0.00411463553370888
Babeliales,0.0040625846565880575
Microbacteriaceae,0.0039719665888368165
Klebsiella,0.0039110534106390855
Thermus,0.003859522913017174
NS9 marine group,0.0038433338781746185
Rhizobiaceae,0.0038118761604596053
Aquaspirillum,0.0037337123766070313
Ruminococcaceae NK4A214 group,0.0036696033605570447
Novosphingobium,0.0035426573509658326
Delftia,0.0035391135339946046
Enterobacteriaceae,0.0035242173884255847
Paludibaculum,0.003422640832570923
Bacteroidales,0.0034085246636503777
Propionivibrio,0.0033868389913838805
Solitalea,0.0033180382201383305
Bosea,0.0033026106366314226
Trichococcus,0.0033019205807730415
Luteimonas,0.003226446292172345
Aurantimicrobium,0.003214838178607744
Gemmatimonadaceae,0.0032032991393076797
Alkanindiges,0.0031171906694745246
Deefgea,0.00310855787461908
Runella,0.003092895712501528
Hirschia,0.0030687076478291384
Gammaproteobacteria,0.003049089751428142
Escherichia-Shigella,0.0030486205749325475
Prosthecobacter,0.0030458139123054327
Mycobacterium,0.0030260753635106964
Brevundimonas,0.003012382843518498
Methylotenera,0.0029711509211805143
Paracoccus,0.0029129612407057938
Aeromonas,0.00290936281223734
Cellvibrio,0.0028732311898198607
Sphingobium,0.002871892578024833
Ephemera danica,0.0028554575636286425
Reyranella,0.002830081571195831
Rubinisphaeraceae,0.002821399177680314
Gemmatimonas,0.002815461124277309
Hoeflea,0.0027617313746839817
Cyclobacteriaceae,0.0027436923209315763
Sphingomonas,0.002724285865282636
Dokdonella,0.0026833389093970537
Pedosphaeraceae,0.002674354343831562
Ralstonia,0.002660714184852873
Xanthomonadaceae,0.0026359460416636453
MWH-UniP1 aquatic group,0.002605203427859778
Methyloversatilis,0.002594957490148156
Caulobacteraceae,0.0025806841332101484
Candidatus Aquirestis,0.002576515614060008
Exiguobacterium,0.0025727658307000984
Fimbriiglobus,0.002566431306573244
SH-PL14,0.0025235200104257813
Hyphomonas,0.002523439808934433
Desulfovibrio,0.0024550179817920503
Bryobacter,0.0024307794548727763
env.OPS 17,0.0023826914387933174
Immundisolibacteraceae,0.0023751769950551456
Vogesella,0.0023736511181248125
Ellin6067,0.0023344847150018394
Rhodococcus,0.002290149716498891
Acidibacter,0.0022901140301956583
Cloacibacterium,0.0022821866151862633
Sulfurimonas,0.002278200355395641
Alphaproteobacteria,0.0022736926093611283
Roseomonas,0.0022581061881518185
Rhodoferax,0.0022318724338601195
Chitinophagales,0.0022300969285174842
Luteolibacter,0.0022293566560383686
SM1A02,0.002226349245298238
Brevifollis,0.002171581752772779
Methylomonaceae,0.002150410567434
Terrimonas sp. 16-45A,0.0021253368753553306
Crocinitomix,0.002090132022442747
OM190,0.0020676909719205853
Dinghuibacter,0.0020194312416103857
Denitratisoma,0.0020112092490413838
Pirellulaceae,0.002008260337448917
Clostridium sensu stricto 1,0.002004278061502119
Shewanella,0.0019982952939004536
Rhodanobacteraceae,0.001975083978744457
R7C24,0.0019747606926902267
Holophagaceae,0.0019658762082132245
Zoogloea,0.001965721409956086
KD3-93,0.001873120548522506
Cyanobium PCC-6307,0.0018696859874105791
Blastomonas,0.001860584955245337
Candidatus Accumulibacter,0.001832274008237577
OM60(NOR5) clade,0.001808565223121429
Duganella,0.0017875855585294071
SC-I-84,0.0017437475238783783
Fusibacter,0.0017265983904788706
Prevotella 9,0.0017142481144941238
Bacteriovorax,0.0017126661166031831
Subgroup 10,0.0017090882322963515
A0839,0.001706092465700928
Pantoea,0.0017004815710347679
CL500-29 marine group,0.001690718299665771
Uliginosibacterium,0.0016768019468126184
Bradyrhizobium,0.0016702367802616063
Chitinibacter,0.0016257864188651062
Caulobacter,0.0016144354179487756
Phenylobacterium,0.001609863615066662
AKYH767,0.0015886403445980297
Sphingorhabdus,0.0015873948324253576
Tychonema CCAP 1459-11B,0.0015820464225182402
Peptostreptococcaceae,0.0015784746394117294
Steroidobacteraceae,0.0015747042802822838
Pirellula,0.0015733432100165081
Desulfobulbus,0.001573274981053067
Haliangium,0.001535424154166248
Elsteraceae,0.0014977205944753389
Desulforegula,0.001464912298917479
TRA3-20,0.0014479486057116613
Arenimonas,0.0014432996709990474
Nitrospira,0.001432162968671712
Fodinicola,0.0014301755793034634
Porphyrobacter,0.0014259105658160163
Pseudanabaena PCC-7429,0.0014169292130556195
U29-B03,0.0014121235878293075
Gracilibacteria,0.0013639477560229165
[Agitococcus] lubricus group,0.001353425439237022
Clostridium sensu stricto 13,0.0013309433366333733
Moraxellaceae,0.0013116552541972842
OPB56,0.0013105421581680453
OLB14,0.0012974927604922286
Halomonas,0.001289467051979392
Sphingopyxis,0.0012888445043719749
Thauera,0.00126544847167131
Polymorphobacter,0.00126194736174448
Planctomycetales,0.001231166336910486
Limnobacter,0.0012221667127579653
Lachnospiraceae,0.0012151061281870448
Sulfuritalea,0.001213852384062467
Clostridium sensu stricto 8,0.0012108638892511763
Lacihabitans,0.001194470572533551
Acetobacteroides,0.001180004061068042
ST-12K33,0.0011791433944045972
Macellibacteroides,0.0011726337540525138
Sandarakinorhabdus,0.0011665801081683848
Desulfomicrobium,0.0011476000203670634
Acetobacteraceae,0.0011234233783805501
Terrimicrobium,0.0011196973114556063
Nocardioides,0.0011157429669791427
PeM15,0.00110562633308364
Hydrogenophilaceae,0.0011023956778465536
DSSD61,0.001097397507659732
Bdellovibrio,0.001095459650083187
Dongia,0.0010903551917944118
A7P-90m,0.0010785025913898185
bacterium enrichment culture clone M624,0.0010616686266584907
Fimbriimonadaceae,0.0010488508001944541
SL56 marine group,0.00104850284382688
Beijerinckiaceae,0.0010442343253187047
Blfdi19,0.0010401748459410794
NB1-j,0.0010316094140994192
Cytophagales,0.0010298308208018458
Tahibacter,0.0010246879232480306
Bradymonadales,0.0010052299638993172
Peredibacter,0.000996189388092824
Pseudoduganella,0.0009777229180393738
Bacteroides,0.0009661305847195811
Polyangium,0.0009624473525125897
Caldilineaceae,0.0009621557649048324
Actinobacteria,0.0009593698113750472
Clostridiaceae 1,0.0009521904864680213
Planktothrix NIVA-CYA 15,0.0009455739545046771
Lentimicrobiaceae,0.0009419360805533323
Niveispirillum,0.0009408126882282145
Leptolyngbya SAG 2411,0.0009342775991390636
