OTUID,Species name
98864ed2fa48a026732b0e1c273e638d,Bacteriovoracaceae
7fe697149013edf788d22b74af85133a,Roseibacillus
743855d7b87a9ff92221d54d4b448bb1,Clade I
5d018efd02f06665dcc7bc727fabebc8,Gemmataceae
7135387978ea8679744c58c1d5f488bb,Spongiibacteraceae
07a21ad29ddceda14322888a2f9df335,Sphingomonadaceae
fb4e082e12702cb61eac1a314abf4004,marine metagenome
a69b3ec2e4c570ba8aaac098a958e6c9,Afifella
2453bac96f2e86f69bb1f2a15e3b398a,Haloferula
d03692d8d7ca63c0c9f005505ce9d278,Burkholderiaceae
f9688535aa8c46ca759ee858249acf57,Ralstonia
d76b6d69f319f50b9324806d21c24c07,Algoriphagus
6e237d5fc6de7febed99fc0ccf9ce237,Pirellula
a8fbabd7cb7008fa23b4bbb023ab5a79,Proteobacteria
2debb7d3abc58cd3843a5950c310779e,Rhodobacteraceae
c6fd2c3f2032886b9adc7421963d6d28,Acidobacteria
306f13139129eba475186a04d373b939,Emticicia
545f8f95e8d1e05a39efda51b2cc2cb9,Rhodobacteraceae
31474016703682176913f2143d5eaf81,Methylomarinum
f3038daa370b26fd9677a1805821565b,AKYH767
64646f3758ba67dd682b2146fee23658,Lewinella nigricans
43de121c5b76014e0dcff380e356b81c,Sphingobium
4765d1919c53bda5140af3cb2b50128c,Candidatus Scalindua
34d59638a154ea9793530fc477804df0,Rhodobacteraceae
79a304f9b92b663c9c0ac180cf70a2b5,NB1-j
a30f480c22e0a7610c6657374060045a,Pelagibius
c530c34c368fe75103545263b3b7504d,Pelagicoccus
6da0fb2ff243e6ed8c9d4ce2b5f2043f,Rickettsiaceae
2822e32ad2c4d2fc9fb2d048c3d5a69b,Gammaproteobacteria
38c27ceaed634984c1225a82648cf571,Pseudomonas
80bc3f341a537f59adc2a2593e5f118d,Subgroup 10
43828e8332fd9db14b39e6aed7e5e210,Candidatus Actinomarina
2cea0ed3b6c9b650492371700c044b07,Oligoflexaceae
82ed2ff9e72279cf740deb173e8e97b8,Candidatus Tenderia
0f31e530ad338f17806401c743969959,PAUC26f
e3eabf942da79c4a106980feb08eb2a6,Sphingomonadaceae
410189cbbe52e0f04e116b05f89ae5cb,Tenacibaculum dicentrarchi
d13ef7818c89584ead10559e232e2408,Filomicrobium
7793b9235c11b1f5b7ceab4b3f9e7c4c,bacterium enrichment culture clone 25(2013)
bd62d4cac51d401765e321791089c9cc,KD4-96
27e4fc9b5d7d6af85e7400c2e429fdfb,Litorimonas
de87bb58ea16360b58ca1d1281057f91,Haloferula helveola
a30e69dd5c44be0ba14e7c52f1d52b50,Rhodobacteraceae
4b3872ef9319c13b0265f9466bc02807,Rhodobacteraceae
20e2f1ef0313171fed670920d91c0fb4,Caldilineaceae
60f369e9eaa0597914f6d282598ff2e8,Aquabacterium
8b078784e4846a2082b5333ea0f8da48,Proteobacteria
